verb,tense,person,answer,choices,hint
caber,Futuro simple,yo,cabré,cabrás;cabrá;cabremos,я помещусь
caber,Futuro simple,tú,cabrás,cabrá;cabremos;cabréis,ты поместишься
caber,Futuro simple,él/ella,cabrá,cabremos;cabréis;cabrán,он/она поместится
caber,Futuro simple,nosotros,cabremos,cabréis;cabrán;cabré,мы поместимся
caber,Futuro simple,vosotros,cabréis,cabrán;cabré;cabrás,вы поместитесь
caber,Futuro simple,ellos/ellas,cabrán,cabré;cabrás;cabrá,они поместятся
valer,Futuro simple,yo,valdré,valdrás;valdrá;valdremos,я буду стоить
valer,Futuro simple,tú,valdrás,valdrá;valdremos;valdréis,ты будешь стоить
valer,Futuro simple,él/ella,valdrá,valdremos;valdréis;valdrán,он/она будет стоить
valer,Futuro simple,nosotros,valdremos,valdréis;valdrán;valdré,мы будем стоить
valer,Futuro simple,vosotros,valdréis,valdrán;valdré;valdrás,вы будете стоить
valer,Futuro simple,ellos/ellas,valdrán,valdré;valdrás;valdrá,они будут стоить
querer,Futuro simple,yo,querré,querrás;querrá;querremos,я захочу
querer,Futuro simple,tú,querrás,querrá;querremos;querréis,ты захочешь
querer,Futuro simple,él/ella,querrá,querremos;querréis;querrán,он/она захочет
querer,Futuro simple,nosotros,querremos,querréis;querrán;querré,мы захотим
querer,Futuro simple,vosotros,querréis,querrán;querré;querrás,вы захотите
querer,Futuro simple,ellos/ellas,querrán,querré;querrás;querrá,они захотят
saber,Futuro simple,yo,sabré,sabrás;sabrá;sabremos,я узнаю
saber,Futuro simple,tú,sabrás,sabrá;sabremos;sabréis,ты узнаешь
saber,Futuro simple,él/ella,sabrá,sabremos;sabréis;sabrán,он/она узнает
saber,Futuro simple,nosotros,sabremos,sabréis;sabrán;sabré,мы узнаем
saber,Futuro simple,vosotros,sabréis,sabrán;sabré;sabrás,вы узнаете
saber,Futuro simple,ellos/ellas,sabrán,sabré;sabrás;sabrá,они узнают
venir,Futuro simple,yo,vendré,vendrás;vendrá;vendremos,я приду
venir,Futuro simple,tú,vendrás,vendrá;vendremos;vendréis,ты придёшь
venir,Futuro simple,él/ella,vendrá,vendremos;vendréis;vendrán,он/она придёт
venir,Futuro simple,nosotros,vendremos,vendréis;vendrán;vendré,мы придём
venir,Futuro simple,vosotros,vendréis,vendrán;vendré;vendrás,вы придёте
venir,Futuro simple,ellos/ellas,vendrán,vendré;vendrás;vendrá,они придут
poner,Futuro simple,yo,pondré,pondrás;pondrá;pondremos,я положу
poner,Futuro simple,tú,pondrás,pondrá;pondremos;pondréis,ты положишь
poner,Futuro simple,él/ella,pondrá,pondremos;pondréis;pondrán,он/она положит
poner,Futuro simple,nosotros,pondremos,pondréis;pondrán;pondré,мы положим
poner,Futuro simple,vosotros,pondréis,pondrán;pondré;pondrás,вы положите
poner,Futuro simple,ellos/ellas,pondrán,pondré;pondrás;pondrá,они положат
