sentence,answer,choices,hint
Este libro es interesante. ___ (leer).,Léelo,Lee;Lo leo;Léela,"Эта книга интересная. Прочитай её."
Ese libro es aburrido. No ___ (leer).,lo leas,léelo;lo lees;lo leáis,"Эта книга скучная. Не читай её."
La tarea está lista. ___ (hacer) ahora.,Hazla,Haz;La haces;Hazlo,"Задание готово. Сделай его сейчас."
La tarea todavía no está lista. No ___ (hacer) ahora.,la hagas,hazla;la haces;la hagáis,"Задание ещё не готово. Не делай его сейчас."
"¿La ventana? ___ (cerrar), hace frío.",Ciérrala,Cierra;La cierras;Ciérralo,"Окно? Закрой его, холодно."
Hace calor. No ___ (cerrar) la ventana.,la cierres,ciérrala;la cierras;la cerréis,"Жарко. Не закрывай окно."
El coche está sucio. ___ (lavar) hoy.,Lávalo,Lava;Lo lavas;Lávala,"Машина грязная. Помой её сегодня."
El coche está limpio. No ___ (lavar) hoy.,lo laves,lávalo;lo lavas;lo lavéis,"Машина чистая. Не мой её сегодня."
Ya es tarde. ___ (levantarse).,Levántate,Levanta;Te levantas;Levántense,"Уже поздно. Встань."
Es temprano. No ___ (levantarse) todavía.,te levantes,levántate;te levantas;os levantéis,"Ещё рано. Не вставай пока."
Tienes sueño. ___ (acostarse) ya.,Acuéstate,Acuesta;Te acuestas;Acuéstense,"Ты хочешь спать. Ложись уже."
No es tarde. No ___ (acostarse) todavía.,te acuestes,acuéstate;te acuestas;os acostéis,"Ещё не поздно. Не ложись спать пока."
"Por favor, ___ (sentarse).",Siéntese,Siéntate;Se sienta;Siéntense,"Пожалуйста, садитесь (Vd.)."
"No ___ (preocuparse), todo está bien.",se preocupe,preocúpese;se preocupa;os preocupéis,"Не волнуйтесь (Vd.), всё в порядке."
"Aquí tiene el informe. ___ (revisar), por favor.",Revíselo,Revisar;Lo revisa;Revísalo,"Вот отчёт. Просмотрите его, пожалуйста (Vd.)."
No ___ (firmar) el documento todavía.,lo firme,fírmelo;lo firma;lo firmen,"Не подписывайте документ пока (Vd.)."
Quiero saber la verdad. ___ (decir) ahora.,Dímela,Dime;Me la dices;Dísela,"Хочу знать правду. Скажи мне её сейчас."
No tengo tiempo. No ___ (decir) toda la historia.,me la digas,dímela;me la dices;os la digáis,"У меня нет времени. Не рассказывай мне всю историю."
Toma este regalo para ella. ___ (dar) mañana.,Dáselo,Da;Se lo das;Dásela,"Возьми этот подарок для неё. Отдай его ей завтра."
Todavía no es su cumpleaños. No ___ (dar) hoy.,se lo des,dáselo;se lo das;os lo deis,"Ещё не её день рождения. Не отдавай его ей сегодня."
"Chicos, ___ (callarse), por favor.",Callaos,Cállate;Os calláis;Cállense,"Ребята, замолчите, пожалуйста."
"No ___ (callarse), quiero oír vuestra opinión.",os calléis,callaos;os calláis;te calles,"Не молчите, хочу услышать ваше мнение."
