sentence,answer,choices,hint
Yo ___ estudiante.,soy,estoy;eres;está,Я студент.
Ella ___ muy cansada hoy.,está,es;soy;están,Она сегодня очень уставшая.
Madrid ___ la capital de España.,es,está;son;estoy,Мадрид — столица Испании.
Nosotros ___ en la escuela.,estamos,somos;es;está,Мы в школе.
¿Cómo ___ tú?,estás,eres;soy;está,Как ты (себя чувствуешь)?
Mi padre ___ médico.,es,está;somos;eres,Мой отец врач.
Los niños ___ felices.,están,son;es;soy,Дети счастливы (сейчас).
Vosotros ___ muy simpáticos.,sois,estáis;son;es,Вы очень приятные (по характеру).
El café ___ caliente.,está,es;son;soy,Кофе горячий (сейчас).
Yo ___ de Rusia.,soy,estoy;es;son,Я из России.
___ perro de mi hermano es grande.,El,La;Los;Un,Собака моего брата большая.
Necesito ___ vaso de agua.,un,una;el;la,Мне нужен стакан воды.
___ mujer que vive allí es profesora.,La,El;Los;Unos,"Женщина, которая там живёт, — учительница."
Tengo ___ hermanas.,unas,unos;la;el,У меня есть несколько сестёр.
___ libros están en la mesa.,Los,Las;El;Un,Книги на столе.
Ella tiene ___ coche nuevo.,un,una;unos;los,У неё новая машина.
___ flores son bonitas.,Las,Los;La;Unas,Цветы красивые.
Vamos a ___ playa.,la,el;los;un,Мы идём на пляж.
___ hombre habla español.,El,La;Los;Unas,Мужчина говорит по-испански.
Quiero comprar ___ manzanas.,unas,unos;la;el,Я хочу купить яблоки.
Vivo ___ Madrid.,en,a;de;con,Я живу в Мадриде.
Voy ___ la escuela.,a,en;de;por,Я иду в школу.
Este libro es ___ Juan.,de,a;en;por,Эта книга Хуана.
Llegamos ___ las nueve.,a,de;en;con,Мы приезжаем в девять.
El regalo es ___ mi madre.,para,de;a;en,Подарок для моей мамы.
Estudio ___ la universidad.,en,a;de;por,Я учусь в университете.
Soy ___ Argentina.,de,a;en;con,Я из Аргентины.
El gato está ___ la caja.,en,a;de;por,Кот в коробке.
Salimos ___ las ocho.,a,de;en;por,Мы выходим в восемь.
Es el coche ___ mi padre.,de,a;en;por,Это машина моего отца.
Ella está ___ contenta.,muy,mucho;muchos;muchas,Она очень довольна.
Tengo ___ trabajo hoy.,mucho,muy;muchos;muchas,У меня сегодня много работы.
Hay ___ estudiantes en la clase.,muchos,mucho;muy;mucha,В классе много студентов.
El examen fue ___ difícil.,muy,mucho;muchos;mucha,Экзамен был очень трудным.
Bebo ___ agua cada día.,mucha,mucho;muy;muchos,Я пью много воды каждый день.
Estamos ___ cansados.,muy,mucho;mucha;muchas,Мы очень устали.
Tiene ___ amigos.,muchos,mucho;muy;mucha,У него/неё много друзей.
La sopa está ___ caliente.,muy,mucho;muchas;muchos,Суп очень горячий.
Hace ___ calor en verano.,mucho,muy;muchos;muchas,Летом очень жарко.
Ella habla ___ rápido.,muy,mucho;mucha;muchos,Она говорит очень быстро.
___ un libro sobre la mesa.,Hay,Está;Son;Es,На столе есть книга.
El libro ___ sobre la mesa.,está,hay;es;son,Книга (лежит) на столе.
___ muchas tiendas en esta calle.,Hay,Está;Están;Es,На этой улице много магазинов.
Mi hermano ___ en casa ahora.,está,hay;es;son,Мой брат сейчас дома.
¿___ un baño aquí cerca?,Hay,Está;Es;Son,Здесь поблизости есть туалет?
Los platos ___ en la cocina.,están,hay;es;soy,Тарелки на кухне.
No ___ leche en la nevera.,hay,está;es;son,В холодильнике нет молока.
La farmacia ___ cerca del parque.,está,hay;es;son,Аптека находится рядом с парком.
___ dos ventanas en la habitación.,Hay,Están;Es;Está,В комнате два окна.
¿Dónde ___ el baño?,está,hay;es;son,Где находится туалет?
