sentence,answer,choices,hint
Creo que ___ (él) tiene razón.,tiene,tenga;tuviera;tendría,"Я думаю, что он прав."
No creo que ___ (él) razón.,tenga,tiene;tuvo;tendrá,"Я не думаю, что он прав."
Es evidente que ella ___ cansada.,está,esté;estuviera;estaría,"Очевидно, что она устала."
Es posible que ella ___ cansada.,esté,está;estaba;estará,"Возможно, она устала."
Busco un piso que ___ dos habitaciones.,tenga,tiene;tenía;tendrá,"Я ищу квартиру, у которой есть две комнаты."
Tengo un piso que ___ dos habitaciones.,tiene,tenga;tuviera;tendría,"У меня есть квартира, в которой две комнаты."
"Cuando ___ (tú) tiempo, llámame.",tengas,tienes;tenías;tendrás,"Когда у тебя будет время, позвони мне."
"Cuando ___ (yo) tiempo, siempre te llamo.",tengo,tenga;tuviera;tendría,"Когда у меня есть время, я всегда тебе звоню."
"Aunque ___ (llover), saldremos.",llueva,llueve;llovía;lloverá,"Даже если пойдёт дождь, мы выйдем."
"Aunque ___ (llover) mucho ayer, salimos.",llovió,llueva;llovía;lloviera,"Хотя вчера сильно шёл дождь, мы вышли."
Me alegro de que ___ (tú) venido.,hayas,has;habías;habrás,"Я рад, что ты пришёл."
Es cierto que ___ (nosotros) ganado el partido.,hemos,hayamos;habíamos;habríamos,"Точно, что мы выиграли матч."
No es cierto que ___ (nosotros) ganado el partido.,hayamos,hemos;habíamos;habríamos,"Неправда, что мы выиграли матч."
"Si ___ (tener) más dinero, viajaría por el mundo.",tuviera,tengo;tendría;tenía,"Если бы у меня было больше денег, я бы путешествовал по миру."
"Si yo ___ (ser) tú, no lo haría.",fuera,soy;era;sería,"Если бы я был тобой, я бы этого не сделал."
"Si ___ (llover), no saldríamos.",lloviera,llueve;llovía;llovería,"Если бы шёл дождь, мы бы не вышли."
"Si ella me ___ (llamar), yo le contaría todo.",llamara,llama;llamaba;llamaría,"Если бы она мне позвонила, я бы рассказал ей всё."
"Si ___ (nosotros) estudiado más, habríamos aprobado.",hubiéramos,habríamos;hemos;habíamos,"Если бы мы больше учились, мы бы сдали экзамен."
"Si tuviera tiempo, ___ (aprender) a tocar piano.",aprendería,aprendo;aprendiera;aprendí,"Если бы у меня было время, я бы научился играть на пианино."
"Si supieras la verdad, no ___ (estar) tan tranquilo.",estarías,estás;estuvieras;estabas,"Если бы ты знал правду, ты бы не был таким спокойным."
"Si pudiera, ___ (cambiar) el pasado.",cambiaría,cambio;cambiara;cambié,"Если бы я мог, я бы изменил прошлое."
"Si hubiera sabido eso, no ___ (venir).",habría venido,vendría;vengo;venía,"Если бы я знал это, я бы не пришёл."
"Si fueras más paciente, todo te ___ (salir) mejor.",saldría,sale;salía;saliera,"Если бы ты был терпеливее, у тебя всё получалось бы лучше."
"Si no ___ (haber) tráfico, llegaríamos a tiempo.",hubiera,habría;hay;había,"Если бы не было пробок, мы бы приехали вовремя."
"Si me lo ___ (pedir), te ayudaría encantado.",pidieras,pides;pedías;pedirías,"Если бы ты попросил меня об этом, я бы с радостью помог."
Ella dijo que ___ (venir) mañana.,vendría,viene;venga;vino,"Она сказала, что придёт завтра."
Me dijo que ___ (estar) muy ocupado.,estaba,está;esté;estará,"Он сказал мне, что очень занят."
Juan comentó que ya ___ (terminar) el proyecto.,había terminado,termina;terminará;terminó,"Хуан сказал, что уже закончил проект."
Dijeron que ___ (llegar) tarde.,llegarían,llegan;lleguen;llegaron,"Они сказали, что опоздают."
Me preguntó si ___ (querer) ir con ellos.,quería,quiero;quiera;querré,"Он спросил меня, хочу ли я пойти с ними."
Ella explicó que no ___ (poder) asistir.,podía,puede;pueda;podrá,"Она объяснила, что не может присутствовать."
El profesor dijo que el examen ___ (ser) difícil.,sería,es;sea;fue,"Учитель сказал, что экзамен будет трудным."
Me contó que ___ (vivir) en Chile durante años.,había vivido,vive;viva;vivió,"Он рассказал мне, что много лет жил в Чили."
Nos avisaron que la reunión ___ (empezar) más tarde.,empezaría,empieza;empiece;empezó,"Нас предупредили, что собрание начнётся позже."
Ella afirmó que ___ (decir) la verdad.,decía,dice;diga;dirá,"Она утверждала, что говорит правду."
Le pregunté dónde ___ (estar) el hotel.,estaba,está;esté;estará,"Я спросил его, где находится отель."
Mis padres dijeron que me ___ (ayudar) con la mudanza.,ayudarían,ayudan;ayuden;ayudaron,"Мои родители сказали, что помогут мне с переездом."
Comentó que ya ___ (leer) esa novela.,había leído,lee;lea;leyó,"Он сказал, что уже читал этот роман."
Me acabo ___ enterar de la noticia.,de,en;a;con,Я только что узнал новость.
No cuentes ___ mí para eso.,con,de;en;a,Не рассчитывай на меня в этом деле.
Voy a pensar ___ tu propuesta.,en,de;a;con,Я подумаю над твоим предложением.
Se olvidó ___ traer las llaves.,de,en;a;con,Он забыл принести ключи.
Insisto ___ que vengas a la fiesta.,en,de;a;con,"Я настаиваю на том, чтобы ты пришёл на вечеринку."
Sueño ___ vivir en la playa.,con,de;en;a,Я мечтаю жить на пляже.
Se dio cuenta ___ su error enseguida.,de,en;a;con,Он сразу понял свою ошибку.
Confío ___ ti completamente.,en,de;a;con,Я полностью доверяю тебе.
Nos alegramos ___ verte de nuevo.,de,en;a;con,Мы рады снова тебя видеть.
Depende ___ ti la decisión final.,de,en;a;con,Окончательное решение зависит от тебя.
Se enamoró ___ ella a primera vista.,de,en;a;con,Он влюбился в неё с первого взгляда.
Tarda mucho ___ responder los correos.,en,de;a;con,Он долго не отвечает на письма.
