verb,tense,person,answer,choices,hint
hablar,Futuro simple,yo,hablaré,hablarás;hablará;hablaremos,я поговорю
hablar,Futuro simple,tú,hablarás,hablará;hablaremos;hablaréis,ты поговоришь
hablar,Futuro simple,él/ella,hablará,hablaremos;hablaréis;hablarán,он/она поговорит
hablar,Futuro simple,nosotros,hablaremos,hablaréis;hablarán;hablaré,мы поговорим
hablar,Futuro simple,vosotros,hablaréis,hablarán;hablaré;hablarás,вы поговорите
hablar,Futuro simple,ellos/ellas,hablarán,hablaré;hablarás;hablará,они поговорят
comer,Futuro simple,yo,comeré,comerás;comerá;comeremos,я поем
comer,Futuro simple,tú,comerás,comerá;comeremos;comeréis,ты поешь
comer,Futuro simple,él/ella,comerá,comeremos;comeréis;comerán,он/она поест
comer,Futuro simple,nosotros,comeremos,comeréis;comerán;comeré,мы поедим
comer,Futuro simple,vosotros,comeréis,comerán;comeré;comerás,вы поедите
comer,Futuro simple,ellos/ellas,comerán,comeré;comerás;comerá,они поедят
vivir,Futuro simple,yo,viviré,vivirás;vivirá;viviremos,я буду жить
vivir,Futuro simple,tú,vivirás,vivirá;viviremos;viviréis,ты будешь жить
vivir,Futuro simple,él/ella,vivirá,viviremos;viviréis;vivirán,он/она будет жить
vivir,Futuro simple,nosotros,viviremos,viviréis;vivirán;viviré,мы будем жить
vivir,Futuro simple,vosotros,viviréis,vivirán;viviré;vivirás,вы будете жить
vivir,Futuro simple,ellos/ellas,vivirán,viviré;vivirás;vivirá,они будут жить
tener,Futuro simple,yo,tendré,tendrás;tendrá;tendremos,я буду иметь
tener,Futuro simple,tú,tendrás,tendrá;tendremos;tendréis,ты будешь иметь
tener,Futuro simple,él/ella,tendrá,tendremos;tendréis;tendrán,он/она будет иметь
tener,Futuro simple,nosotros,tendremos,tendréis;tendrán;tendré,мы будем иметь
tener,Futuro simple,vosotros,tendréis,tendrán;tendré;tendrás,вы будете иметь
tener,Futuro simple,ellos/ellas,tendrán,tendré;tendrás;tendrá,они будут иметь
poder,Futuro simple,yo,podré,podrás;podrá;podremos,я смогу
poder,Futuro simple,tú,podrás,podrá;podremos;podréis,ты сможешь
poder,Futuro simple,él/ella,podrá,podremos;podréis;podrán,он/она сможет
poder,Futuro simple,nosotros,podremos,podréis;podrán;podré,мы сможем
poder,Futuro simple,vosotros,podréis,podrán;podré;podrás,вы сможете
poder,Futuro simple,ellos/ellas,podrán,podré;podrás;podrá,они смогут
hacer,Futuro simple,yo,haré,harás;hará;haremos,я сделаю
hacer,Futuro simple,tú,harás,hará;haremos;haréis,ты сделаешь
hacer,Futuro simple,él/ella,hará,haremos;haréis;harán,он/она сделает
hacer,Futuro simple,nosotros,haremos,haréis;harán;haré,мы сделаем
hacer,Futuro simple,vosotros,haréis,harán;haré;harás,вы сделаете
hacer,Futuro simple,ellos/ellas,harán,haré;harás;hará,они сделают
decir,Futuro simple,yo,diré,dirás;dirá;diremos,я скажу
decir,Futuro simple,tú,dirás,dirá;diremos;diréis,ты скажешь
decir,Futuro simple,él/ella,dirá,diremos;diréis;dirán,он/она скажет
decir,Futuro simple,nosotros,diremos,diréis;dirán;diré,мы скажем
decir,Futuro simple,vosotros,diréis,dirán;diré;dirás,вы скажете
decir,Futuro simple,ellos/ellas,dirán,diré;dirás;dirá,они скажут
salir,Futuro simple,yo,saldré,saldrás;saldrá;saldremos,я выйду
salir,Futuro simple,tú,saldrás,saldrá;saldremos;saldréis,ты выйдешь
salir,Futuro simple,él/ella,saldrá,saldremos;saldréis;saldrán,он/она выйдет
salir,Futuro simple,nosotros,saldremos,saldréis;saldrán;saldré,мы выйдем
salir,Futuro simple,vosotros,saldréis,saldrán;saldré;saldrás,вы выйдете
salir,Futuro simple,ellos/ellas,saldrán,saldré;saldrás;saldrá,они выйдут
hablar,Condicional,yo,hablaría,hablarías;hablaríamos;hablaríais,я бы поговорил(а)
hablar,Condicional,tú,hablarías,hablaría;hablaríamos;hablaríais,ты бы поговорил(а)
hablar,Condicional,él/ella,hablaría,hablaríamos;hablaríais;hablarían,он/она бы поговорил(а)
hablar,Condicional,nosotros,hablaríamos,hablaríais;hablarían;hablaría,мы бы поговорили
hablar,Condicional,vosotros,hablaríais,hablarían;hablaría;hablarías,вы бы поговорили
hablar,Condicional,ellos/ellas,hablarían,hablaría;hablarías;hablaríamos,они бы поговорили
comer,Condicional,yo,comería,comerías;comeríamos;comeríais,я бы поел(а)
comer,Condicional,tú,comerías,comería;comeríamos;comeríais,ты бы поел(а)
comer,Condicional,él/ella,comería,comeríamos;comeríais;comerían,он/она бы поел(а)
comer,Condicional,nosotros,comeríamos,comeríais;comerían;comería,мы бы поели
comer,Condicional,vosotros,comeríais,comerían;comería;comerías,вы бы поели
comer,Condicional,ellos/ellas,comerían,comería;comerías;comeríamos,они бы поели
vivir,Condicional,yo,viviría,vivirías;viviríamos;viviríais,я бы жил(а)
vivir,Condicional,tú,vivirías,viviría;viviríamos;viviríais,ты бы жил(а)
vivir,Condicional,él/ella,viviría,viviríamos;viviríais;vivirían,он/она бы жил(а)
vivir,Condicional,nosotros,viviríamos,viviríais;vivirían;viviría,мы бы жили
