verb,tense,person,answer,choices,hint
caber,Condicional,yo,cabría,cabrías;cabríamos;cabríais,я бы поместился/поместилась
caber,Condicional,tú,cabrías,cabría;cabríamos;cabríais,ты бы поместился/поместилась
caber,Condicional,él/ella,cabría,cabríamos;cabríais;cabrían,он/она бы поместился/поместилась
caber,Condicional,nosotros,cabríamos,cabríais;cabrían;cabría,мы бы поместились
caber,Condicional,vosotros,cabríais,cabrían;cabría;cabrías,вы бы поместились
caber,Condicional,ellos/ellas,cabrían,cabría;cabrías;cabríamos,они бы поместились
valer,Condicional,yo,valdría,valdrías;valdríamos;valdríais,я бы стоил(а)
valer,Condicional,tú,valdrías,valdría;valdríamos;valdríais,ты бы стоил(а)
valer,Condicional,él/ella,valdría,valdríamos;valdríais;valdrían,он/она бы стоил(а)
valer,Condicional,nosotros,valdríamos,valdríais;valdrían;valdría,мы бы стоили
valer,Condicional,vosotros,valdríais,valdrían;valdría;valdrías,вы бы стоили
valer,Condicional,ellos/ellas,valdrían,valdría;valdrías;valdríamos,они бы стоили
querer,Condicional,yo,querría,querrías;querríamos;querríais,я бы хотел(а)
querer,Condicional,tú,querrías,querría;querríamos;querríais,ты бы хотел(а)
querer,Condicional,él/ella,querría,querríamos;querríais;querrían,он/она бы хотел(а)
querer,Condicional,nosotros,querríamos,querríais;querrían;querría,мы бы хотели
querer,Condicional,vosotros,querríais,querrían;querría;querrías,вы бы хотели
querer,Condicional,ellos/ellas,querrían,querría;querrías;querríamos,они бы хотели
saber,Condicional,yo,sabría,sabrías;sabríamos;sabríais,я бы знал(а)
saber,Condicional,tú,sabrías,sabría;sabríamos;sabríais,ты бы знал(а)
saber,Condicional,él/ella,sabría,sabríamos;sabríais;sabrían,он/она бы знал(а)
saber,Condicional,nosotros,sabríamos,sabríais;sabrían;sabría,мы бы знали
saber,Condicional,vosotros,sabríais,sabrían;sabría;sabrías,вы бы знали
saber,Condicional,ellos/ellas,sabrían,sabría;sabrías;sabríamos,они бы знали
venir,Condicional,yo,vendría,vendrías;vendríamos;vendríais,я бы пришёл/пришла
venir,Condicional,tú,vendrías,vendría;vendríamos;vendríais,ты бы пришёл/пришла
venir,Condicional,él/ella,vendría,vendríamos;vendríais;vendrían,он/она бы пришёл/пришла
venir,Condicional,nosotros,vendríamos,vendríais;vendrían;vendría,мы бы пришли
venir,Condicional,vosotros,vendríais,vendrían;vendría;vendrías,вы бы пришли
venir,Condicional,ellos/ellas,vendrían,vendría;vendrías;vendríamos,они бы пришли
poner,Condicional,yo,pondría,pondrías;pondríamos;pondríais,я бы положил(а)
poner,Condicional,tú,pondrías,pondría;pondríamos;pondríais,ты бы положил(а)
poner,Condicional,él/ella,pondría,pondríamos;pondríais;pondrían,он/она бы положил(а)
poner,Condicional,nosotros,pondríamos,pondríais;pondrían;pondría,мы бы положили
poner,Condicional,vosotros,pondríais,pondrían;pondría;pondrías,вы бы положили
poner,Condicional,ellos/ellas,pondrían,pondría;pondrías;pondríamos,они бы положили
