sentence,answer,choices,hint
Este regalo es ___ ti.,para,por;de;en,Этот подарок для тебя.
Caminamos ___ el parque.,por,para;de;a,Мы гуляли по парку.
Trabajo ___ ganar dinero.,para,por;de;a,"Я работаю, чтобы зарабатывать деньги."
Gracias ___ tu ayuda.,por,para;de;a,Спасибо за твою помощь.
Salimos ___ la mañana.,por,para;a;de,Мы выходим утром.
Necesito esto ___ mañana.,para,por;de;en,Мне нужно это к завтрашнему дню.
Pagué diez euros ___ el libro.,por,para;de;a,Я заплатил десять евро за книгу.
Estudia mucho ___ ser médico.,para,por;de;en,"Он много учится, чтобы стать врачом."
Viajamos ___ tren.,por,para;de;a,Мы путешествовали на поезде.
El paquete es ___ mi jefe.,para,por;de;a,Посылка для моего начальника.
Ella luchó ___ sus derechos.,por,para;de;a,Она боролась за свои права.
Vamos a Madrid ___ dos semanas.,por,para;de;a,Мы едем в Мадрид на две недели.
"Cuando era niño, ___ al parque todos los días.",iba,fui;voy;iré,"Когда я был ребёнком, я ходил в парк каждый день."
Ayer ___ una película muy buena.,vi,veía;veo;veré,Вчера я посмотрел очень хороший фильм.
"Mientras yo cocinaba, mi hermano ___ la mesa.",puso,ponía;pone;pondrá,"Пока я готовил, мой брат накрыл на стол."
"De pequeña, ella ___ mucho miedo a los perros.",tenía,tuvo;tiene;tendrá,В детстве она очень боялась собак.
El año pasado ___ a Francia.,viajé,viajaba;viajo;viajaré,В прошлом году я поехал во Францию.
Todos los veranos ___ en la playa.,nadábamos,nadamos;nadaremos;nadaríamos,Каждое лето мы плавали на пляже.
Anoche ___ tarde porque había mucho tráfico.,llegué,llegaba;llego;llegaré,"Вчера вечером я приехал поздно, потому что было много пробок."
"Cuando sonó el teléfono, yo ___ en la ducha.",estaba,estuve;estoy;estaré,"Когда зазвонил телефон, я был в душе."
Mis abuelos ___ en un pueblo pequeño.,vivían,vivieron;viven;vivirán,Мои бабушка и дедушка жили в маленькой деревне.
"De repente, ___ a llover.",empezó,empezaba;empieza;empezará,Внезапно начался дождь.
"Cuando era joven, mi padre ___ todos los días al trabajo.",caminaba,caminó;camina;caminará,"Когда он был молод, мой отец каждый день ходил на работу пешком."
El sábado pasado ___ con mis amigos.,salí,salía;salgo;saldré,В прошлую субботу я пошёл гулять с друзьями.
Ella ___ leyendo cuando la llamé.,estaba,estuvo;está;estará,"Она читала, когда я ей позвонил."
¿El libro? ___ compré ayer.,Lo,La;Le;Les,Книгу? Я купил её вчера.
¿La carta? ___ escribí anoche.,La,Lo;Le;Les,Письмо? Я написал его вчера ночью.
___ di el regalo a mi madre.,Le,Lo;La;Les,Я подарил подарок своей маме.
A mis padres ___ llamo cada domingo.,les,lo;la;le,Своим родителям я звоню каждое воскресенье.
¿Dónde está mi teléfono? No ___ encuentro.,lo,la;le;les,Где мой телефон? Я его не нахожу.
María es simpática; ___ conozco desde hace años.,la,lo;le;les,Мария приятная; я знаю её уже много лет.
___ voy a explicar el problema a ustedes.,Les,Lo;La;Le,Я объясню вам проблему.
"Mis llaves, no ___ veo.",las,los;les;le,"Мои ключи, я их не вижу."
___ pregunté a mi profesor sobre el examen.,Le,Lo;La;Les,Я спросил своего учителя об экзамене.
"Este pastel está delicioso, mi abuela ___ hizo.",lo,la;le;les,"Этот пирог вкусный, моя бабушка его испекла."
"A ti ___ gusta el cine, ¿verdad?",te,le;lo;les,"Тебе нравится кино, правда?"
Mis amigas vienen mañana; ___ voy a ver en la estación.,las,los;les;le,Мои подруги приезжают завтра; я встречу их на вокзале.
¿Y tu hermano? Hace tiempo que no ___ veo.,lo,la;le;les,А твой брат? Я давно его не видел.
A mí ___ gustan los perros.,me,te;le;les,Мне нравятся собаки.
A ella ___ encanta bailar.,le,me;te;les,Ей очень нравится танцевать.
A nosotros ___ interesa la historia.,nos,me;le;les,Нам интересна история.
A ustedes ___ falta tiempo.,les,me;te;le,Вам не хватает времени.
A ti ___ duele la cabeza.,te,me;le;nos,У тебя болит голова.
A los niños ___ molesta el ruido.,les,me;te;le,Детям мешает шум.
A mí ___ importa mucho tu opinión.,me,te;le;les,Мне очень важно твоё мнение.
A él ___ quedan cinco euros.,le,me;te;nos,У него осталось пять евро.
A vosotros ___ apetece un café.,os,me;le;les,Вам хочется кофе.
A mis padres ___ preocupa mi salud.,les,me;te;nos,Мои родители беспокоятся о моём здоровье.
A mí ___ duelen los pies.,me,te;le;nos,У меня болят ноги.
A ella ___ fascina la música clásica.,le,me;te;les,Её увлекает классическая музыка.
