es,ru,example
despertarse,просыпаться,Me despierto a las siete de la mañana.
levantarse,вставать,Los domingos me levanto tarde.
ducharse,принимать душ,Me ducho antes de desayunar.
bañarse,купаться,A los niños les encanta bañarse en el mar.
vestirse,одеваться,Me visto rápido para no llegar tarde.
peinarse,причёсываться,Ella se peina delante del espejo.
afeitarse,бриться,Mi padre se afeita cada mañana.
maquillarse,краситься (макияж),María se maquilla antes de salir.
acostarse,ложиться спать,Me acuesto a las once de la noche.
cepillarse los dientes,чистить зубы,Me cepillo los dientes tres veces al día.
almorzar,обедать,Almorzamos juntos en la oficina.
cenar,ужинать,Esta noche cenamos en un restaurante.
merendar,полдничать,Los niños meriendan fruta y yogur.
relajarse,расслабляться,Me gusta relajarme con música tranquila.
descansar,отдыхать,Necesito descansar después del trabajo.
el almuerzo,обед,El almuerzo está listo a las dos.
la cena,ужин,"La cena fue deliciosa, gracias."
la rutina,распорядок дня,Mi rutina empieza con un café.
madrugar,вставать рано,No me gusta madrugar los lunes.
la parada,остановка,Te espero en la parada del autobús.
el semáforo,светофор,Gira a la derecha en el semáforo.
la acera,тротуар,No dejes la bici en la acera.
la esquina,угол (улицы),La panadería está en la esquina.
el edificio,здание,Trabajo en ese edificio alto.
el piso,этаж; квартира,Vivimos en un piso pequeño en el centro.
el barrio,"квартал, район",Mi barrio es muy tranquilo.
el centro,центр,Vamos de compras al centro.
las afueras,окраина,Mis abuelos viven en las afueras.
el puente,мост,El puente cruza el río.
el metro,метро,Tomo el metro para ir al trabajo.
el taxi,такси,Pedimos un taxi para ir al aeropuerto.
la maleta,чемодан,Mi maleta pesa veinte kilos.
el pasaporte,паспорт,No olvides tu pasaporte.
el billete,билет,Compré un billete de ida y vuelta.
el equipaje,багаж,¿Dónde recogemos el equipaje?
el mapa,карта,Miramos el mapa para no perdernos.
la guía,"путеводитель, гид",La guía nos mostró el museo.
el turista,турист,En agosto hay muchos turistas aquí.
el viaje,путешествие,Fue el mejor viaje de mi vida.
el vuelo,"перелёт, рейс",El vuelo sale a las diez.
la llegada,прибытие,
la salida,"выход, отправление",
el retraso,"опоздание, задержка",
el destino,пункт назначения,
la frontera,граница,
la aduana,таможня,
la recepción,стойка регистрации,
el ascensor,лифт,
alojarse,останавливаться (в отеле),
reservar,бронировать,
aterrizar,приземляться,
despegar,взлетать,
la empresa,"компания, фирма",
la oficina,офис,
el jefe,начальник,
la jefa,начальница,
el empleado,служащий,
la empleada,служащая,
el sueldo,зарплата,
la reunión,"собрание, встреча",
el proyecto,проект,
el cliente,клиент,
el negocio,"бизнес, дело",
la entrevista,"собеседование, интервью",
el currículum,резюме,
el contrato,контракт,
la carrera,карьера; специальность,
el horario,расписание,
la oportunidad,возможность,
renunciar,увольняться (по своей воле),
jubilarse,выходить на пенсию,
contratar,нанимать,
despedir,увольнять,
solicitar,подавать заявку,
el precio,цена,
la oferta,"предложение, акция",
el descuento,скидка,
la rebaja,"распродажа, скидка",
el probador,примерочная,
la talla,размер (одежды),
la caja,касса; коробка,
el recibo,"чек, квитанция",
la marca,"марка, бренд",
el carrito,тележка,
devolver,возвращать,
el efectivo,наличные,
la tarjeta,карта (банковская),
probarse,примерять,
el clima,климат,
la temperatura,температура,
el grado,градус,
la tormenta,"буря, гроза",
el trueno,гром,
el relámpago,молния,
la niebla,туман,
húmedo,влажный,
la salud,здоровье,
el dolor,боль,
la fiebre,температура (болезнь),
la tos,кашель,
el resfriado,простуда,
la gripe,грипп,
la herida,рана,
la pastilla,таблетка,
la medicina,лекарство; медицина,
el médico,врач,
la enfermera,медсестра,
la cita,"приём, встреча (запись)",
la receta,рецепт (медицинский/кулинарный),
la ambulancia,скорая помощь,
la operación,операция,
vacunar,прививать,
curar,лечить,
enfermarse,заболевать,
mejorar,улучшаться,
empeorar,ухудшаться,
respirar,дышать,
toser,кашлять,
estornudar,чихать,
el amor,любовь,
el odio,ненависть,
el miedo,страх,
la sorpresa,"сюрприз, удивление",
la vergüenza,стыд,
los celos,ревность,
la envidia,зависть,
la esperanza,надежда,
la confianza,доверие,
la duda,сомнение,
el orgullo,гордость,
la culpa,вина,
enamorarse,влюбляться,
sorprender,удивлять,
asustar,пугать,
preocupar,беспокоить,
molestar,"раздражать, мешать",
enfadarse,сердиться,
emocionar,волновать,
calmarse,успокаиваться,
odiar,ненавидеть,
extrañar,скучать (по кому-то),
tener hambre,хотеть есть,
tener sed,хотеть пить,
tener sueño,хотеть спать,
tener miedo,бояться,
tener prisa,спешить,
tener razón,быть правым,
tener ganas de,хотеться (что-то делать),
hacer falta,быть нужным,
dar igual,быть всё равно,
prestar atención,обращать внимание,
echar de menos,скучать по,
darse cuenta,осознавать,
llevarse bien,ладить,
ponerse de acuerdo,договариваться,
la costumbre,"привычка, обычай",
la experiencia,опыт,
la decisión,решение,
la solución,решение (проблемы),
la diferencia,разница,
la similitud,сходство,
el consejo,совет,
la queja,жалоба,
la sugerencia,предложение (совет),
el resultado,результат,
el objetivo,цель,
el motivo,"причина, повод",
la razón,причина; разум,
la ventaja,преимущество,
la desventaja,недостаток,
el riesgo,риск,
la seguridad,безопасность,
la libertad,свобода,
la responsabilidad,ответственность,
la capacidad,способность,
útil,полезный,
inútil,бесполезный,
cómodo,удобный,
incómodo,неудобный,
exitoso,успешный,
fracasado,неудавшийся,
valiente,смелый,
cobarde,трусливый,
generoso,щедрый,
egoísta,эгоистичный,
honesto,честный,
sincero,искренний,
educado,воспитанный,
maleducado,невоспитанный,
puntual,пунктуальный,
torpe,неуклюжий,
orgulloso,гордый,
celoso,ревнивый,
curioso,любопытный,
sensible,чувствительный,
sensato,"разумный, благоразумный",
flojo,ленивый; слабый,
perezoso,ленивый,
la cuenta,счёт,
la propina,чаевые,
el camarero,официант,
la camarera,официантка,
el menú,меню,
la carta,меню (карта блюд); письмо,
el entrante,закуска,
la reserva,бронь,
la comida,еда; обед,
la especialidad,фирменное блюдо,
casero,домашний,
picante,острый (о еде),
dulce,сладкий,
salado,солёный,
amargo,горький,
ácido,кислый,
la lavadora,стиральная машина,
el lavavajillas,посудомоечная машина,
la nevera,холодильник,
el horno,духовка,
el microondas,микроволновка,
la aspiradora,пылесос,
la plancha,утюг,
el enchufe,"розетка, вилка",
el interruptor,выключатель,
la pila,батарейка,
cargar,заряжать; загружать,
encender,включать,
apagar,выключать,
el móvil,мобильный телефон,
la aplicación,приложение,
la contraseña,пароль,
el archivo,файл,
la pantalla,экран,
el teclado,клавиатура,
descargar,скачивать,
guardar,сохранять,
borrar,"удалять, стирать",
imprimir,печатать (на принтере),
conectar,подключать,
desconectar,отключать,
el ayuntamiento,мэрия,
la comisaría,полицейский участок,
el rascacielos,небоскрёб,
la fábrica,"фабрика, завод",
el supermercado,супермаркет,
la panadería,пекарня,
la carnicería,мясная лавка,
la pescadería,рыбный магазин,
la frutería,фруктовая лавка,
la peluquería,парикмахерская,
el gimnasio,спортзал,
la piscina,бассейн,
invitar,приглашать,
celebrar,праздновать,
felicitar,поздравлять,
agradecer,благодарить,
disculparse,извиняться,
quejarse,жаловаться,
discutir,"спорить, обсуждать",
pelear,"драться, ссориться",
reconciliarse,мириться,
compartir,делиться,
prestar,одалживать,
regalar,дарить,
planear,планировать,
organizar,организовывать,
preparar,"готовить, подготавливать",
arreglar,"чинить, улаживать",
reparar,ремонтировать,
construir,строить,
destruir,разрушать,
mudarse,переезжать,
alquilar,"арендовать, снимать",
nervioso,нервный,
estresado,в стрессе,
relajado,расслабленный,
emocionante,"волнующий, захватывающий",
sorprendente,удивительный,
asombroso,поразительный,
increíble,невероятный,
maravilloso,чудесный,
horrible,ужасный,
terrible,"ужасный, страшный",
fantástico,фантастический,
estupendo,"отличный, потрясающий",
genial,"гениальный, классный",
el vecino,сосед,
la vecina,соседка,
la comunidad,сообщество,
la mitad,половина,
el par,пара,
la docena,дюжина,
el ejemplo,пример,
la manera,"способ, манера",
la forma,"форма, способ",
la etapa,этап,
el nivel,уровень,
el tipo,"тип, вид",
el resto,остаток,
el detalle,деталь,
el aspecto,"аспект, вид",
