verb,tense,person,answer,choices,hint
hablar,Pretérito indefinido,yo,hablé,hablaste;habló;hablamos,я поговорил(а)
hablar,Pretérito indefinido,tú,hablaste,habló;hablamos;hablasteis,ты поговорил(а)
hablar,Pretérito indefinido,él/ella,habló,hablamos;hablasteis;hablaron,он/она поговорил(а)
hablar,Pretérito indefinido,nosotros,hablamos,hablasteis;hablaron;hablé,мы поговорили
hablar,Pretérito indefinido,vosotros,hablasteis,hablaron;hablé;hablaste,вы поговорили
hablar,Pretérito indefinido,ellos/ellas,hablaron,hablé;hablaste;habló,они поговорили
comer,Pretérito indefinido,yo,comí,comiste;comió;comimos,я поел(а)
comer,Pretérito indefinido,tú,comiste,comió;comimos;comisteis,ты поел(а)
comer,Pretérito indefinido,él/ella,comió,comimos;comisteis;comieron,он/она поел(а)
comer,Pretérito indefinido,nosotros,comimos,comisteis;comieron;comí,мы поели
comer,Pretérito indefinido,vosotros,comisteis,comieron;comí;comiste,вы поели
comer,Pretérito indefinido,ellos/ellas,comieron,comí;comiste;comió,они поели
vivir,Pretérito indefinido,yo,viví,viviste;vivió;vivimos,я прожил(а)
vivir,Pretérito indefinido,tú,viviste,vivió;vivimos;vivisteis,ты прожил(а)
vivir,Pretérito indefinido,él/ella,vivió,vivimos;vivisteis;vivieron,он/она прожил(а)
vivir,Pretérito indefinido,nosotros,vivimos,vivisteis;vivieron;viví,мы прожили
vivir,Pretérito indefinido,vosotros,vivisteis,vivieron;viví;viviste,вы прожили
vivir,Pretérito indefinido,ellos/ellas,vivieron,viví;viviste;vivió,они прожили
estar,Pretérito indefinido,yo,estuve,estuviste;estuvo;estuvimos,я был(а)
estar,Pretérito indefinido,tú,estuviste,estuvo;estuvimos;estuvisteis,ты был(а)
estar,Pretérito indefinido,él/ella,estuvo,estuvimos;estuvisteis;estuvieron,он/она был(а)
estar,Pretérito indefinido,nosotros,estuvimos,estuvisteis;estuvieron;estuve,мы были
estar,Pretérito indefinido,vosotros,estuvisteis,estuvieron;estuve;estuviste,вы были
estar,Pretérito indefinido,ellos/ellas,estuvieron,estuve;estuviste;estuvo,они были
ir,Pretérito indefinido,yo,fui,fuiste;fue;fuimos,я пошёл/пошла
ir,Pretérito indefinido,tú,fuiste,fue;fuimos;fuisteis,ты пошёл/пошла
ir,Pretérito indefinido,él/ella,fue,fuimos;fuisteis;fueron,он/она пошёл/пошла
ir,Pretérito indefinido,nosotros,fuimos,fuisteis;fueron;fui,мы пошли
ir,Pretérito indefinido,vosotros,fuisteis,fueron;fui;fuiste,вы пошли
ir,Pretérito indefinido,ellos/ellas,fueron,fui;fuiste;fue,они пошли
hacer,Pretérito indefinido,yo,hice,hiciste;hizo;hicimos,я сделал(а)
hacer,Pretérito indefinido,tú,hiciste,hizo;hicimos;hicisteis,ты сделал(а)
hacer,Pretérito indefinido,él/ella,hizo,hicimos;hicisteis;hicieron,он/она сделал(а)
hacer,Pretérito indefinido,nosotros,hicimos,hicisteis;hicieron;hice,мы сделали
hacer,Pretérito indefinido,vosotros,hicisteis,hicieron;hice;hiciste,вы сделали
hacer,Pretérito indefinido,ellos/ellas,hicieron,hice;hiciste;hizo,они сделали
tener,Pretérito indefinido,yo,tuve,tuviste;tuvo;tuvimos,я имел(а)
tener,Pretérito indefinido,tú,tuviste,tuvo;tuvimos;tuvisteis,ты имел(а)
tener,Pretérito indefinido,él/ella,tuvo,tuvimos;tuvisteis;tuvieron,он/она имел(а)
tener,Pretérito indefinido,nosotros,tuvimos,tuvisteis;tuvieron;tuve,мы имели
tener,Pretérito indefinido,vosotros,tuvisteis,tuvieron;tuve;tuviste,вы имели
tener,Pretérito indefinido,ellos/ellas,tuvieron,tuve;tuviste;tuvo,они имели
poder,Pretérito indefinido,yo,pude,pudiste;pudo;pudimos,я смог/смогла
poder,Pretérito indefinido,tú,pudiste,pudo;pudimos;pudisteis,ты смог/смогла
poder,Pretérito indefinido,él/ella,pudo,pudimos;pudisteis;pudieron,он/она смог/смогла
poder,Pretérito indefinido,nosotros,pudimos,pudisteis;pudieron;pude,мы смогли
poder,Pretérito indefinido,vosotros,pudisteis,pudieron;pude;pudiste,вы смогли
poder,Pretérito indefinido,ellos/ellas,pudieron,pude;pudiste;pudo,они смогли
decir,Pretérito indefinido,yo,dije,dijiste;dijo;dijimos,я сказал(а)
