verb,tense,person,answer,choices,hint
hablar,Presente de subjuntivo,yo,hable,hables;hablemos;habléis,(чтобы) я говорил
hablar,Presente de subjuntivo,tú,hables,hable;hablemos;habléis,(чтобы) ты говорил
hablar,Presente de subjuntivo,él/ella,hable,hablemos;habléis;hablen,(чтобы) он/она говорил
hablar,Presente de subjuntivo,nosotros,hablemos,habléis;hablen;hable,(чтобы) мы говорили
hablar,Presente de subjuntivo,vosotros,habléis,hablen;hable;hables,(чтобы) вы говорили
hablar,Presente de subjuntivo,ellos/ellas,hablen,hable;hables;hablemos,(чтобы) они говорили
comer,Presente de subjuntivo,yo,coma,comas;comamos;comáis,(чтобы) я ел
comer,Presente de subjuntivo,tú,comas,coma;comamos;comáis,(чтобы) ты ел
comer,Presente de subjuntivo,él/ella,coma,comamos;comáis;coman,(чтобы) он/она ел
comer,Presente de subjuntivo,nosotros,comamos,comáis;coman;coma,(чтобы) мы ели
comer,Presente de subjuntivo,vosotros,comáis,coman;coma;comas,(чтобы) вы ели
comer,Presente de subjuntivo,ellos/ellas,coman,coma;comas;comamos,(чтобы) они ели
vivir,Presente de subjuntivo,yo,viva,vivas;vivamos;viváis,(чтобы) я жил
vivir,Presente de subjuntivo,tú,vivas,viva;vivamos;viváis,(чтобы) ты жил
vivir,Presente de subjuntivo,él/ella,viva,vivamos;viváis;vivan,(чтобы) он/она жил
vivir,Presente de subjuntivo,nosotros,vivamos,viváis;vivan;viva,(чтобы) мы жили
vivir,Presente de subjuntivo,vosotros,viváis,vivan;viva;vivas,(чтобы) вы жили
vivir,Presente de subjuntivo,ellos/ellas,vivan,viva;vivas;vivamos,(чтобы) они жили
ser,Presente de subjuntivo,yo,sea,seas;seamos;seáis,(чтобы) я был
ser,Presente de subjuntivo,tú,seas,sea;seamos;seáis,(чтобы) ты был
ser,Presente de subjuntivo,él/ella,sea,seamos;seáis;sean,(чтобы) он/она был
ser,Presente de subjuntivo,nosotros,seamos,seáis;sean;sea,(чтобы) мы были
ser,Presente de subjuntivo,vosotros,seáis,sean;sea;seas,(чтобы) вы были
ser,Presente de subjuntivo,ellos/ellas,sean,sea;seas;seamos,(чтобы) они были
estar,Presente de subjuntivo,yo,esté,estés;estemos;estéis,(чтобы) я находился
estar,Presente de subjuntivo,tú,estés,esté;estemos;estéis,(чтобы) ты находился
estar,Presente de subjuntivo,él/ella,esté,estemos;estéis;estén,(чтобы) он/она находился
estar,Presente de subjuntivo,nosotros,estemos,estéis;estén;esté,(чтобы) мы находились
estar,Presente de subjuntivo,vosotros,estéis,estén;esté;estés,(чтобы) вы находились
estar,Presente de subjuntivo,ellos/ellas,estén,esté;estés;estemos,(чтобы) они находились
tener,Presente de subjuntivo,yo,tenga,tengas;tengamos;tengáis,(чтобы) я имел
tener,Presente de subjuntivo,tú,tengas,tenga;tengamos;tengáis,(чтобы) ты имел
tener,Presente de subjuntivo,él/ella,tenga,tengamos;tengáis;tengan,(чтобы) он/она имел
tener,Presente de subjuntivo,nosotros,tengamos,tengáis;tengan;tenga,(чтобы) мы имели
tener,Presente de subjuntivo,vosotros,tengáis,tengan;tenga;tengas,(чтобы) вы имели
tener,Presente de subjuntivo,ellos/ellas,tengan,tenga;tengas;tengamos,(чтобы) они имели
hacer,Presente de subjuntivo,yo,haga,hagas;hagamos;hagáis,(чтобы) я сделал
hacer,Presente de subjuntivo,tú,hagas,haga;hagamos;hagáis,(чтобы) ты сделал
hacer,Presente de subjuntivo,él/ella,haga,hagamos;hagáis;hagan,(чтобы) он/она сделал
hacer,Presente de subjuntivo,nosotros,hagamos,hagáis;hagan;haga,(чтобы) мы сделали
hacer,Presente de subjuntivo,vosotros,hagáis,hagan;haga;hagas,(чтобы) вы сделали
hacer,Presente de subjuntivo,ellos/ellas,hagan,haga;hagas;hagamos,(чтобы) они сделали
ir,Presente de subjuntivo,yo,vaya,vayas;vayamos;vayáis,(чтобы) я пошёл
ir,Presente de subjuntivo,tú,vayas,vaya;vayamos;vayáis,(чтобы) ты пошёл
ir,Presente de subjuntivo,él/ella,vaya,vayamos;vayáis;vayan,(чтобы) он/она пошёл
ir,Presente de subjuntivo,nosotros,vayamos,vayáis;vayan;vaya,(чтобы) мы пошли
ir,Presente de subjuntivo,vosotros,vayáis,vayan;vaya;vayas,(чтобы) вы пошли
ir,Presente de subjuntivo,ellos/ellas,vayan,vaya;vayas;vayamos,(чтобы) они пошли
poder,Presente de subjuntivo,yo,pueda,puedas;podamos;podáis,(чтобы) я мог
poder,Presente de subjuntivo,tú,puedas,pueda;podamos;podáis,(чтобы) ты мог
poder,Presente de subjuntivo,él/ella,pueda,podamos;podáis;puedan,(чтобы) он/она мог
poder,Presente de subjuntivo,nosotros,podamos,podáis;puedan;pueda,(чтобы) мы могли
poder,Presente de subjuntivo,vosotros,podáis,puedan;pueda;puedas,(чтобы) вы могли
poder,Presente de subjuntivo,ellos/ellas,puedan,pueda;puedas;podamos,(чтобы) они могли
saber,Presente de subjuntivo,yo,sepa,sepas;sepamos;sepáis,(чтобы) я знал
saber,Presente de subjuntivo,tú,sepas,sepa;sepamos;sepáis,(чтобы) ты знал
saber,Presente de subjuntivo,él/ella,sepa,sepamos;sepáis;sepan,(чтобы) он/она знал
saber,Presente de subjuntivo,nosotros,sepamos,sepáis;sepan;sepa,(чтобы) мы знали
saber,Presente de subjuntivo,vosotros,sepáis,sepan;sepa;sepas,(чтобы) вы знали
