verb,tense,person,answer,choices,hint
poner,Presente,yo,pongo,pones;pone;ponemos,я кладу
poner,Presente,tú,pones,pone;ponemos;ponéis,ты кладёшь
poner,Presente,él/ella,pone,ponemos;ponéis;ponen,он/она кладёт
poner,Presente,nosotros,ponemos,ponéis;ponen;pongo,мы кладём
poner,Presente,vosotros,ponéis,ponen;pongo;pones,вы кладёте
poner,Presente,ellos/ellas,ponen,pongo;pones;pone,они кладут
salir,Presente,yo,salgo,sales;sale;salimos,я выхожу
salir,Presente,tú,sales,sale;salimos;salís,ты выходишь
salir,Presente,él/ella,sale,salimos;salís;salen,он/она выходит
salir,Presente,nosotros,salimos,salís;salen;salgo,мы выходим
salir,Presente,vosotros,salís,salen;salgo;sales,вы выходите
salir,Presente,ellos/ellas,salen,salgo;sales;sale,они выходят
traer,Presente,yo,traigo,traes;trae;traemos,я приношу
traer,Presente,tú,traes,trae;traemos;traéis,ты приносишь
traer,Presente,él/ella,trae,traemos;traéis;traen,он/она приносит
traer,Presente,nosotros,traemos,traéis;traen;traigo,мы приносим
traer,Presente,vosotros,traéis,traen;traigo;traes,вы приносите
traer,Presente,ellos/ellas,traen,traigo;traes;trae,они приносят
oír,Presente,yo,oigo,oyes;oye;oímos,я слышу
oír,Presente,tú,oyes,oye;oímos;oís,ты слышишь
oír,Presente,él/ella,oye,oímos;oís;oyen,он/она слышит
oír,Presente,nosotros,oímos,oís;oyen;oigo,мы слышим
oír,Presente,vosotros,oís,oyen;oigo;oyes,вы слышите
oír,Presente,ellos/ellas,oyen,oigo;oyes;oye,они слышат
caber,Presente,yo,quepo,cabes;cabe;cabemos,я помещаюсь
caber,Presente,tú,cabes,cabe;cabemos;cabéis,ты помещаешься
caber,Presente,él/ella,cabe,cabemos;cabéis;caben,он/она помещается
caber,Presente,nosotros,cabemos,cabéis;caben;quepo,мы помещаемся
caber,Presente,vosotros,cabéis,caben;quepo;cabes,вы помещаетесь
caber,Presente,ellos/ellas,caben,quepo;cabes;cabe,они помещаются
valer,Presente,yo,valgo,vales;vale;valemos,я стою (имею ценность)
valer,Presente,tú,vales,vale;valemos;valéis,ты стоишь
valer,Presente,él/ella,vale,valemos;valéis;valen,он/она стоит
valer,Presente,nosotros,valemos,valéis;valen;valgo,мы стоим
valer,Presente,vosotros,valéis,valen;valgo;vales,вы стоите
valer,Presente,ellos/ellas,valen,valgo;vales;vale,они стоят
elegir,Presente,yo,elijo,eliges;elige;elegimos,я выбираю
elegir,Presente,tú,eliges,elige;elegimos;elegís,ты выбираешь
elegir,Presente,él/ella,elige,elegimos;elegís;eligen,он/она выбирает
elegir,Presente,nosotros,elegimos,elegís;eligen;elijo,мы выбираем
elegir,Presente,vosotros,elegís,eligen;elijo;eliges,вы выбираете
elegir,Presente,ellos/ellas,eligen,elijo;eliges;elige,они выбирают
conocer,Presente,yo,conozco,conoces;conoce;conocemos,я знаю (знаком)
conocer,Presente,tú,conoces,conoce;conocemos;conocéis,ты знаешь
conocer,Presente,él/ella,conoce,conocemos;conocéis;conocen,он/она знает
conocer,Presente,nosotros,conocemos,conocéis;conocen;conozco,мы знаем
conocer,Presente,vosotros,conocéis,conocen;conozco;conoces,вы знаете
conocer,Presente,ellos/ellas,conocen,conozco;conoces;conoce,они знают
construir,Presente,yo,construyo,construyes;construye;construimos,я строю
construir,Presente,tú,construyes,construye;construimos;construís,ты строишь
construir,Presente,él/ella,construye,construimos;construís;construyen,он/она строит
construir,Presente,nosotros,construimos,construís;construyen;construyo,мы строим
construir,Presente,vosotros,construís,construyen;construyo;construyes,вы строите
construir,Presente,ellos/ellas,construyen,construyo;construyes;construye,они строят
huir,Presente,yo,huyo,huyes;huye;huimos,я убегаю
huir,Presente,tú,huyes,huye;huimos;huís,ты убегаешь
huir,Presente,él/ella,huye,huimos;huís;huyen,он/она убегает
huir,Presente,nosotros,huimos,huís;huyen;huyo,мы убегаем
huir,Presente,vosotros,huís,huyen;huyo;huyes,вы убегаете
huir,Presente,ellos/ellas,huyen,huyo;huyes;huye,они убегают
oler,Presente,yo,huelo,hueles;huele;olemos,я пахну
oler,Presente,tú,hueles,huele;olemos;oléis,ты пахнешь
oler,Presente,él/ella,huele,olemos;oléis;huelen,он/она пахнет
oler,Presente,nosotros,olemos,oléis;huelen;huelo,мы пахнем
oler,Presente,vosotros,oléis,huelen;huelo;hueles,вы пахнете
oler,Presente,ellos/ellas,huelen,huelo;hueles;huele,они пахнут
jugar,Presente,yo,juego,juegas;juega;jugamos,я играю
jugar,Presente,tú,juegas,juega;jugamos;jugáis,ты играешь
jugar,Presente,él/ella,juega,jugamos;jugáis;juegan,он/она играет
jugar,Presente,nosotros,jugamos,jugáis;juegan;juego,мы играем
jugar,Presente,vosotros,jugáis,juegan;juego;juegas,вы играете
jugar,Presente,ellos/ellas,juegan,juego;juegas;juega,они играют
pensar,Presente,yo,pienso,piensas;piensa;pensamos,я думаю
pensar,Presente,tú,piensas,piensa;pensamos;pensáis,ты думаешь
pensar,Presente,él/ella,piensa,pensamos;pensáis;piensan,он/она думает
pensar,Presente,nosotros,pensamos,pensáis;piensan;pienso,мы думаем
pensar,Presente,vosotros,pensáis,piensan;pienso;piensas,вы думаете
pensar,Presente,ellos/ellas,piensan,pienso;piensas;piensa,они думают
volver,Presente,yo,vuelvo,vuelves;vuelve;volvemos,я возвращаюсь
volver,Presente,tú,vuelves,vuelve;volvemos;volvéis,ты возвращаешься
volver,Presente,él/ella,vuelve,volvemos;volvéis;vuelven,он/она возвращается
volver,Presente,nosotros,volvemos,volvéis;vuelven;vuelvo,мы возвращаемся
volver,Presente,vosotros,volvéis,vuelven;vuelvo;vuelves,вы возвращаетесь
volver,Presente,ellos/ellas,vuelven,vuelvo;vuelves;vuelve,они возвращаются
pedir,Presente,yo,pido,pides;pide;pedimos,я прошу
pedir,Presente,tú,pides,pide;pedimos;pedís,ты просишь
pedir,Presente,él/ella,pide,pedimos;pedís;piden,он/она просит
pedir,Presente,nosotros,pedimos,pedís;piden;pido,мы просим
pedir,Presente,vosotros,pedís,piden;pido;pides,вы просите
pedir,Presente,ellos/ellas,piden,pido;pides;pide,они просят
seguir,Presente,yo,sigo,sigues;sigue;seguimos,я продолжаю
seguir,Presente,tú,sigues,sigue;seguimos;seguís,ты продолжаешь
seguir,Presente,él/ella,sigue,seguimos;seguís;siguen,он/она продолжает
seguir,Presente,nosotros,seguimos,seguís;siguen;sigo,мы продолжаем
seguir,Presente,vosotros,seguís,siguen;sigo;sigues,вы продолжаете
seguir,Presente,ellos/ellas,siguen,sigo;sigues;sigue,они продолжают
dormir,Presente,yo,duermo,duermes;duerme;dormimos,я сплю
dormir,Presente,tú,duermes,duerme;dormimos;dormís,ты спишь
dormir,Presente,él/ella,duerme,dormimos;dormís;duermen,он/она спит
dormir,Presente,nosotros,dormimos,dormís;duermen;duermo,мы спим
dormir,Presente,vosotros,dormís,duermen;duermo;duermes,вы спите
dormir,Presente,ellos/ellas,duermen,duermo;duermes;duerme,они спят
sentir,Presente,yo,siento,sientes;siente;sentimos,я чувствую
sentir,Presente,tú,sientes,siente;sentimos;sentís,ты чувствуешь
sentir,Presente,él/ella,siente,sentimos;sentís;sienten,он/она чувствует
sentir,Presente,nosotros,sentimos,sentís;sienten;siento,мы чувствуем
sentir,Presente,vosotros,sentís,sienten;siento;sientes,вы чувствуете
sentir,Presente,ellos/ellas,sienten,siento;sientes;siente,они чувствуют
coger,Presente,yo,cojo,coges;coge;cogemos,я беру
coger,Presente,tú,coges,coge;cogemos;cogéis,ты берёшь
coger,Presente,él/ella,coge,cogemos;cogéis;cogen,он/она берёт
coger,Presente,nosotros,cogemos,cogéis;cogen;cojo,мы берём
coger,Presente,vosotros,cogéis,cogen;cojo;coges,вы берёте
coger,Presente,ellos/ellas,cogen,cojo;coges;coge,они берут
producir,Presente,yo,produzco,produces;produce;producimos,я произвожу
producir,Presente,tú,produces,produce;producimos;producís,ты производишь
producir,Presente,él/ella,produce,producimos;producís;producen,он/она производит
producir,Presente,nosotros,producimos,producís;producen;produzco,мы производим
producir,Presente,vosotros,producís,producen;produzco;produces,вы производите
producir,Presente,ellos/ellas,producen,produzco;produces;produce,они производят
ofrecer,Presente,yo,ofrezco,ofreces;ofrece;ofrecemos,я предлагаю
ofrecer,Presente,tú,ofreces,ofrece;ofrecemos;ofrecéis,ты предлагаешь
ofrecer,Presente,él/ella,ofrece,ofrecemos;ofrecéis;ofrecen,он/она предлагает
ofrecer,Presente,nosotros,ofrecemos,ofrecéis;ofrecen;ofrezco,мы предлагаем
ofrecer,Presente,vosotros,ofrecéis,ofrecen;ofrezco;ofreces,вы предлагаете
ofrecer,Presente,ellos/ellas,ofrecen,ofrezco;ofreces;ofrece,они предлагают
mover,Presente,yo,muevo,mueves;mueve;movemos,я двигаю
mover,Presente,tú,mueves,mueve;movemos;movéis,ты двигаешь
mover,Presente,él/ella,mueve,movemos;movéis;mueven,он/она двигает
