es,ru,example
sin embargo,однако,"Estudió mucho; sin embargo, no aprobó el examen."
aunque,хотя,"Aunque llueva, iremos a la playa."
por lo tanto,"поэтому, следовательно","No hay entradas; por lo tanto, no podemos ir."
además de,помимо,"Además de inglés, habla francés y ruso."
a pesar de,несмотря на,"A pesar del frío, salimos a caminar."
en cambio,"напротив, зато","Yo prefiero el té; él, en cambio, toma café."
mientras que,в то время как,"Ana trabaja mucho, mientras que su hermano descansa."
por eso,поэтому,"Estaba enfermo, por eso no vino."
así que,так что,"Terminé temprano, así que fui al gimnasio."
es decir,то есть,"Vuelvo en una semana, es decir, el lunes."
o sea,"то есть, иными словами","Llegó tardísimo, o sea, a medianoche."
por ejemplo,например,"Me gustan las frutas, por ejemplo, las fresas."
en cuanto a,что касается,"En cuanto al precio, me parece razonable."
según,"согласно, по мнению","Según el periódico, mañana habrá tormenta."
debido a,"из-за, вследствие",El vuelo se canceló debido al mal tiempo.
gracias a,благодаря,"Gracias a tu ayuda, terminé a tiempo."
a causa de,по причине,Cerraron la carretera a causa de la nieve.
en lugar de,вместо,"En lugar de quejarte, busca una solución."
a menos que,если только не,No iré a menos que tú vengas conmigo.
con tal de que,при условии что,Te ayudo con tal de que me escuches.
en caso de,в случае,"En caso de incendio, use las escaleras."
por supuesto,конечно,¿Me ayudas? — Por supuesto.
de hecho,"на самом деле, фактически","Conozco la ciudad; de hecho, nací allí."
por cierto,кстати,"Por cierto, ¿viste mi mensaje?"
al principio,вначале,Al principio el curso parecía fácil.
al final,в конце концов,Al final todos quedaron contentos.
de repente,"вдруг, внезапно",De repente empezó a llover.
poco a poco,постепенно,Poco a poco aprendo más palabras.
en general,в общем,"En general, la comida aquí es buena."
sobre todo,"прежде всего, особенно","Me gusta leer, sobre todo novelas."
opinar,"полагать, высказывать мнение",
la opinión,мнение,
el punto de vista,точка зрения,
estar de acuerdo,быть согласным,
el argumento,аргумент,
el debate,дебаты,
convencer,убеждать,
dudar,сомневаться,
afirmar,утверждать,
negar,отрицать,
suponer,предполагать,
proponer,предлагать,
recomendar,рекомендовать,
aconsejar,советовать,
criticar,критиковать,
apoyar,поддерживать,
defender,защищать,
juzgar,"судить, оценивать",
valorar,"ценить, оценивать",
considerar,"считать, рассматривать",
el conocimiento,знание,
la sabiduría,мудрость,
la verdad,"правда, истина",
la mentira,ложь,
la justicia,справедливость,
la injusticia,несправедливость,
la igualdad,равенство,
la desigualdad,неравенство,
el derecho,право,
el deber,"долг, обязанность",
la ley,закон,
la norma,"норма, правило",
el valor,ценность; смелость,
el éxito,успех,
el fracaso,"провал, неудача",
el esfuerzo,усилие,
el logro,достижение,
la meta,цель,
el propósito,"цель, намерение",
el desarrollo,развитие,
el crecimiento,рост,
el cambio,изменение,
el progreso,прогресс,
el comportamiento,поведение,
la actitud,"отношение, позиция",
el pensamiento,"мысль, мышление",
la memoria,память,
la imaginación,воображение,
la creatividad,креативность,
la paciencia,терпение,
la voluntad,воля,
el hecho,факт,
el acontecimiento,событие,
la circunstancia,обстоятельство,
la situación,ситуация,
la condición,условие,
la consecuencia,последствие,
la influencia,влияние,
el impacto,воздействие,
la fuente,источник,
las noticias,новости,
el periódico,газета,
la revista,журнал,
el periodista,журналист,
la prensa,пресса,
el titular,заголовок,
el reportaje,репортаж,
la publicidad,реклама,
