es,ru,example
hola,привет,¡Hola! ¿Cómo estás?
buenos días,доброе утро,"Buenos días, ¿qué tal dormiste?"
buenas tardes,добрый день,"Buenas tardes, señora García."
buenas noches,спокойной ночи,"Buenas noches, hasta mañana."
adiós,до свидания,"Adiós, nos vemos pronto."
hasta luego,до скорого,"Hasta luego, amigo."
hasta mañana,до завтра,"Hasta mañana, que descanses."
por favor,пожалуйста,"Ayúdame, por favor."
gracias,спасибо,Muchas gracias por tu ayuda.
de nada,не за что,"De nada, fue un placer."
perdón,извините,"Perdón, no te escuché bien."
lo siento,мне жаль,Lo siento mucho por la tardanza.
sí,да,"Sí, estoy de acuerdo contigo."
no,нет,"No, no quiero ir hoy."
bienvenido,добро пожаловать,Bienvenido a nuestra casa.
buen provecho,приятного аппетита,¡Buen provecho a todos!
salud,будь здоров,¡Salud! Por el nuevo año.
mucho gusto,очень приятно,"Mucho gusto, me llamo Ana."
yo,я,Yo estudio español todos los días.
tú,ты,Tú hablas muy bien ruso.
él,он,Él vive en Madrid.
ella,она,Ella trabaja en un hospital.
nosotros,мы,Nosotros vamos al cine hoy.
vosotros,"вы (неформ., мн.ч.)",Vosotros sois muy amables.
ellos,они (муж.),Ellos llegan mañana por la tarde.
ellas,они (жен.),Ellas son hermanas.
usted,Вы (вежл.),¿Usted habla inglés?
ustedes,"вы (вежл., мн.ч.)",Ustedes son bienvenidos aquí.
mi,мой,Este es mi libro favorito.
tu,твой,¿Dónde está tu casa?
uno,один,Tengo uno solo.
dos,два,Compré dos manzanas.
tres,три,Hay tres gatos en el jardín.
cuatro,четыре,Son las cuatro de la tarde.
cinco,пять,Tengo cinco hermanos.
seis,шесть,El tren sale a las seis.
siete,семь,La semana tiene siete días.
ocho,восемь,Llegamos a las ocho.
nueve,девять,Son las nueve de la noche.
diez,десять,Cuenta hasta diez.
once,одиннадцать,Nos vemos a las once.
doce,двенадцать,El año tiene doce meses.
trece,тринадцать,Tiene trece años.
catorce,четырнадцать,Hoy es catorce de julio.
quince,пятнадцать,Faltan quince minutos.
dieciséis,шестнадцать,Cumple dieciséis años mañana.
diecisiete,семнадцать,Somos diecisiete en la clase.
dieciocho,восемнадцать,A los dieciocho ya puedes votar.
diecinueve,девятнадцать,Vive en el piso diecinueve.
veinte,двадцать,Hay veinte estudiantes en el aula.
lunes,понедельник,
martes,вторник,
miércoles,среда,
jueves,четверг,
viernes,пятница,
sábado,суббота,
domingo,воскресенье,
enero,январь,
febrero,февраль,
marzo,март,
abril,апрель,
mayo,май,
junio,июнь,
julio,июль,
agosto,август,
septiembre,сентябрь,
octubre,октябрь,
noviembre,ноябрь,
diciembre,декабрь,
familia,семья,
madre,мать,
padre,отец,
hijo,сын,
hija,дочь,
hermano,брат,
hermana,сестра,
abuelo,дедушка,
abuela,бабушка,
tío,дядя,
tía,тётя,
primo,двоюродный брат,
prima,двоюродная сестра,
esposo,муж,
esposa,жена,
nieto,внук,
pan,хлеб,
agua,вода,
leche,молоко,
huevo,яйцо,
carne,мясо,
pollo,курица,
pescado,рыба,
arroz,рис,
queso,сыр,
fruta,фрукт,
manzana,яблоко,
plátano,банан,
naranja,апельсин,
verdura,овощ,
tomate,помидор,
patata,картофель,
cebolla,лук,
ajo,чеснок,
sal,соль,
azúcar,сахар,
aceite,растительное масло,
café,кофе,
té,чай,
vino,вино,
cerveza,пиво,
sopa,суп,
postre,десерт,
desayuno,завтрак,
casa,дом,
habitación,комната,
cocina,кухня,
baño,ванная,
dormitorio,спальня,
sala,гостиная,
puerta,дверь,
ventana,окно,
mesa,стол,
silla,стул,
cama,кровать,
armario,шкаф,
techo,потолок,
suelo,пол,
pared,стена,
jardín,сад,
llave,ключ,
espejo,зеркало,
ciudad,город,
calle,улица,
plaza,площадь,
tienda,магазин,
mercado,рынок,
banco,банк,
hospital,больница,
escuela,школа,
universidad,университет,
hotel,гостиница,
restaurante,ресторан,
iglesia,церковь,
parque,парк,
estación,вокзал,
aeropuerto,аэропорт,
museo,музей,
biblioteca,библиотека,
farmacia,аптека,
ser,быть (постоянный признак),
estar,"быть (состояние, местоположение)",
tener,иметь,
hacer,делать,
ir,"идти, ехать",
poder,мочь,
decir,"говорить, сказать",
ver,видеть,
dar,давать,
saber,знать,
querer,"хотеть, любить",
venir,приходить,
pensar,думать,
salir,выходить,
llegar,прибывать,
pasar,"проходить, случаться",
deber,быть должным,
poner,"класть, ставить",
parecer,казаться,
quedar,оставаться,
creer,"верить, думать",
hablar,"говорить, разговаривать",
llevar,"нести, носить",
dejar,"оставлять, позволять",
seguir,"следовать, продолжать",
bueno,хороший,
malo,плохой,
grande,большой,
pequeño,маленький,
nuevo,новый,
viejo,старый,
joven,молодой,
bonito,красивый,
feo,некрасивый,
alto,высокий,
bajo,низкий,
largo,длинный,
corto,короткий,
rápido,быстрый,
lento,медленный,
fácil,лёгкий,
difícil,трудный,
caro,дорогой,
barato,дешёвый,
feliz,счастливый,
triste,грустный,
caliente,горячий,
frío,холодный,
limpio,чистый,
qué,что,
quién,кто,
cuándo,когда,
dónde,где,
cómo,как,
cuánto,сколько,
cuál,"какой, который",
por qué,почему,
para qué,для чего,
adónde,куда,
hoy,сегодня,
mañana,"завтра, утро",
ayer,вчера,
ahora,сейчас,
después,потом,
antes,"раньше, до",
siempre,всегда,
nunca,никогда,
a veces,иногда,
tarde,"поздно, вечер",
temprano,рано,
semana,неделя,
mes,месяц,
año,год,
hora,час,
