verb,tense,person,answer,choices,hint
abrir,Pretérito perfecto,yo,he abierto,has abierto;ha abierto;hemos abierto,я открыл(а)
abrir,Pretérito perfecto,tú,has abierto,ha abierto;hemos abierto;habéis abierto,ты открыл(а)
abrir,Pretérito perfecto,él/ella,ha abierto,hemos abierto;habéis abierto;han abierto,он/она открыл(а)
abrir,Pretérito perfecto,nosotros,hemos abierto,habéis abierto;han abierto;he abierto,мы открыли
abrir,Pretérito perfecto,vosotros,habéis abierto,han abierto;he abierto;has abierto,вы открыли
abrir,Pretérito perfecto,ellos/ellas,han abierto,he abierto;has abierto;ha abierto,они открыли
cubrir,Pretérito perfecto,yo,he cubierto,has cubierto;ha cubierto;hemos cubierto,я покрыл(а)
cubrir,Pretérito perfecto,tú,has cubierto,ha cubierto;hemos cubierto;habéis cubierto,ты покрыл(а)
cubrir,Pretérito perfecto,él/ella,ha cubierto,hemos cubierto;habéis cubierto;han cubierto,он/она покрыл(а)
cubrir,Pretérito perfecto,nosotros,hemos cubierto,habéis cubierto;han cubierto;he cubierto,мы покрыли
cubrir,Pretérito perfecto,vosotros,habéis cubierto,han cubierto;he cubierto;has cubierto,вы покрыли
cubrir,Pretérito perfecto,ellos/ellas,han cubierto,he cubierto;has cubierto;ha cubierto,они покрыли
descubrir,Pretérito perfecto,yo,he descubierto,has descubierto;ha descubierto;hemos descubierto,я обнаружил(а)
descubrir,Pretérito perfecto,tú,has descubierto,ha descubierto;hemos descubierto;habéis descubierto,ты обнаружил(а)
descubrir,Pretérito perfecto,él/ella,ha descubierto,hemos descubierto;habéis descubierto;han descubierto,он/она обнаружил(а)
descubrir,Pretérito perfecto,nosotros,hemos descubierto,habéis descubierto;han descubierto;he descubierto,мы обнаружили
descubrir,Pretérito perfecto,vosotros,habéis descubierto,han descubierto;he descubierto;has descubierto,вы обнаружили
descubrir,Pretérito perfecto,ellos/ellas,han descubierto,he descubierto;has descubierto;ha descubierto,они обнаружили
componer,Pretérito perfecto,yo,he compuesto,has compuesto;ha compuesto;hemos compuesto,я составил(а)
componer,Pretérito perfecto,tú,has compuesto,ha compuesto;hemos compuesto;habéis compuesto,ты составил(а)
componer,Pretérito perfecto,él/ella,ha compuesto,hemos compuesto;habéis compuesto;han compuesto,он/она составил(а)
componer,Pretérito perfecto,nosotros,hemos compuesto,habéis compuesto;han compuesto;he compuesto,мы составили
componer,Pretérito perfecto,vosotros,habéis compuesto,han compuesto;he compuesto;has compuesto,вы составили
componer,Pretérito perfecto,ellos/ellas,han compuesto,he compuesto;has compuesto;ha compuesto,они составили
devolver,Pretérito perfecto,yo,he devuelto,has devuelto;ha devuelto;hemos devuelto,я вернул(а)
devolver,Pretérito perfecto,tú,has devuelto,ha devuelto;hemos devuelto;habéis devuelto,ты вернул(а)
devolver,Pretérito perfecto,él/ella,ha devuelto,hemos devuelto;habéis devuelto;han devuelto,он/она вернул(а)
devolver,Pretérito perfecto,nosotros,hemos devuelto,habéis devuelto;han devuelto;he devuelto,мы вернули
devolver,Pretérito perfecto,vosotros,habéis devuelto,han devuelto;he devuelto;has devuelto,вы вернули
devolver,Pretérito perfecto,ellos/ellas,han devuelto,he devuelto;has devuelto;ha devuelto,они вернули
disolver,Pretérito perfecto,yo,he disuelto,has disuelto;ha disuelto;hemos disuelto,я растворил(а)
disolver,Pretérito perfecto,tú,has disuelto,ha disuelto;hemos disuelto;habéis disuelto,ты растворил(а)
disolver,Pretérito perfecto,él/ella,ha disuelto,hemos disuelto;habéis disuelto;han disuelto,он/она растворил(а)
disolver,Pretérito perfecto,nosotros,hemos disuelto,habéis disuelto;han disuelto;he disuelto,мы растворили
disolver,Pretérito perfecto,vosotros,habéis disuelto,han disuelto;he disuelto;has disuelto,вы растворили
disolver,Pretérito perfecto,ellos/ellas,han disuelto,he disuelto;has disuelto;ha disuelto,они растворили
