verb,tense,person,answer,choices,hint
hablar,Presente,yo,hablo,hablas;habla;hablamos,я говорю
hablar,Presente,tú,hablas,habla;hablamos;habláis,ты говоришь
hablar,Presente,él/ella,habla,hablamos;habláis;hablan,он/она говорит
hablar,Presente,nosotros,hablamos,habláis;hablan;hablo,мы говорим
hablar,Presente,vosotros,habláis,hablan;hablo;hablas,вы говорите
hablar,Presente,ellos/ellas,hablan,hablo;hablas;habla,они говорят
trabajar,Presente,yo,trabajo,trabajas;trabaja;trabajamos,я работаю
trabajar,Presente,tú,trabajas,trabaja;trabajamos;trabajáis,ты работаешь
trabajar,Presente,él/ella,trabaja,trabajamos;trabajáis;trabajan,он/она работает
trabajar,Presente,nosotros,trabajamos,trabajáis;trabajan;trabajo,мы работаем
trabajar,Presente,vosotros,trabajáis,trabajan;trabajo;trabajas,вы работаете
trabajar,Presente,ellos/ellas,trabajan,trabajo;trabajas;trabaja,они работают
estudiar,Presente,yo,estudio,estudias;estudia;estudiamos,я учусь
estudiar,Presente,tú,estudias,estudia;estudiamos;estudiáis,ты учишься
estudiar,Presente,él/ella,estudia,estudiamos;estudiáis;estudian,он/она учится
estudiar,Presente,nosotros,estudiamos,estudiáis;estudian;estudio,мы учимся
estudiar,Presente,vosotros,estudiáis,estudian;estudio;estudias,вы учитесь
estudiar,Presente,ellos/ellas,estudian,estudio;estudias;estudia,они учатся
comprar,Presente,yo,compro,compras;compra;compramos,я покупаю
comprar,Presente,tú,compras,compra;compramos;compráis,ты покупаешь
comprar,Presente,él/ella,compra,compramos;compráis;compran,он/она покупает
comprar,Presente,nosotros,compramos,compráis;compran;compro,мы покупаем
comprar,Presente,vosotros,compráis,compran;compro;compras,вы покупаете
comprar,Presente,ellos/ellas,compran,compro;compras;compra,они покупают
escuchar,Presente,yo,escucho,escuchas;escucha;escuchamos,я слушаю
escuchar,Presente,tú,escuchas,escucha;escuchamos;escucháis,ты слушаешь
escuchar,Presente,él/ella,escucha,escuchamos;escucháis;escuchan,он/она слушает
escuchar,Presente,nosotros,escuchamos,escucháis;escuchan;escucho,мы слушаем
escuchar,Presente,vosotros,escucháis,escuchan;escucho;escuchas,вы слушаете
escuchar,Presente,ellos/ellas,escuchan,escucho;escuchas;escucha,они слушают
comer,Presente,yo,como,comes;come;comemos,я ем
comer,Presente,tú,comes,come;comemos;coméis,ты ешь
comer,Presente,él/ella,come,comemos;coméis;comen,он/она ест
comer,Presente,nosotros,comemos,coméis;comen;como,мы едим
comer,Presente,vosotros,coméis,comen;como;comes,вы едите
comer,Presente,ellos/ellas,comen,como;comes;come,они едят
beber,Presente,yo,bebo,bebes;bebe;bebemos,я пью
beber,Presente,tú,bebes,bebe;bebemos;bebéis,ты пьёшь
beber,Presente,él/ella,bebe,bebemos;bebéis;beben,он/она пьёт
beber,Presente,nosotros,bebemos,bebéis;beben;bebo,мы пьём
beber,Presente,vosotros,bebéis,beben;bebo;bebes,вы пьёте
beber,Presente,ellos/ellas,beben,bebo;bebes;bebe,они пьют
aprender,Presente,yo,aprendo,aprendes;aprende;aprendemos,я учу
aprender,Presente,tú,aprendes,aprende;aprendemos;aprendéis,ты учишь
aprender,Presente,él/ella,aprende,aprendemos;aprendéis;aprenden,он/она учит
aprender,Presente,nosotros,aprendemos,aprendéis;aprenden;aprendo,мы учим
aprender,Presente,vosotros,aprendéis,aprenden;aprendo;aprendes,вы учите
aprender,Presente,ellos/ellas,aprenden,aprendo;aprendes;aprende,они учат
leer,Presente,yo,leo,lees;lee;leemos,я читаю
leer,Presente,tú,lees,lee;leemos;leéis,ты читаешь
leer,Presente,él/ella,lee,leemos;leéis;leen,он/она читает
leer,Presente,nosotros,leemos,leéis;leen;leo,мы читаем
leer,Presente,vosotros,leéis,leen;leo;lees,вы читаете
leer,Presente,ellos/ellas,leen,leo;lees;lee,они читают
vivir,Presente,yo,vivo,vives;vive;vivimos,я живу
vivir,Presente,tú,vives,vive;vivimos;vivís,ты живёшь
vivir,Presente,él/ella,vive,vivimos;vivís;viven,он/она живёт
vivir,Presente,nosotros,vivimos,vivís;viven;vivo,мы живём
vivir,Presente,vosotros,vivís,viven;vivo;vives,вы живёте
vivir,Presente,ellos/ellas,viven,vivo;vives;vive,они живут
escribir,Presente,yo,escribo,escribes;escribe;escribimos,я пишу
escribir,Presente,tú,escribes,escribe;escribimos;escribís,ты пишешь
escribir,Presente,él/ella,escribe,escribimos;escribís;escriben,он/она пишет
escribir,Presente,nosotros,escribimos,escribís;escriben;escribo,мы пишем
escribir,Presente,vosotros,escribís,escriben;escribo;escribes,вы пишете
escribir,Presente,ellos/ellas,escriben,escribo;escribes;escribe,они пишут
abrir,Presente,yo,abro,abres;abre;abrimos,я открываю
abrir,Presente,tú,abres,abre;abrimos;abrís,ты открываешь
abrir,Presente,él/ella,abre,abrimos;abrís;abren,он/она открывает
abrir,Presente,nosotros,abrimos,abrís;abren;abro,мы открываем
abrir,Presente,vosotros,abrís,abren;abro;abres,вы открываете
abrir,Presente,ellos/ellas,abren,abro;abres;abre,они открывают
decidir,Presente,yo,decido,decides;decide;decidimos,я решаю
decidir,Presente,tú,decides,decide;decidimos;decidís,ты решаешь
decidir,Presente,él/ella,decide,decidimos;decidís;deciden,он/она решает
decidir,Presente,nosotros,decidimos,decidís;deciden;decido,мы решаем
decidir,Presente,vosotros,decidís,deciden;decido;decides,вы решаете
decidir,Presente,ellos/ellas,deciden,decido;decides;decide,они решают
ser,Presente,yo,soy,eres;es;somos,я (есть)
ser,Presente,tú,eres,es;somos;sois,ты (есть)
ser,Presente,él/ella,es,somos;sois;son,он/она (есть)
ser,Presente,nosotros,somos,sois;son;soy,мы (есть)
ser,Presente,vosotros,sois,son;soy;eres,вы (есть)
ser,Presente,ellos/ellas,son,soy;eres;es,они (есть)
estar,Presente,yo,estoy,estás;está;estamos,я нахожусь
estar,Presente,tú,estás,está;estamos;estáis,ты находишься
estar,Presente,él/ella,está,estamos;estáis;están,он/она находится
estar,Presente,nosotros,estamos,estáis;están;estoy,мы находимся
