verb,tense,person,answer,choices,hint
andar,Pretérito indefinido,yo,anduve,anduviste;anduvo;anduvimos,я погулял(а)
andar,Pretérito indefinido,tú,anduviste,anduvo;anduvimos;anduvisteis,ты погулял(а)
andar,Pretérito indefinido,él/ella,anduvo,anduvimos;anduvisteis;anduvieron,он/она погулял(а)
andar,Pretérito indefinido,nosotros,anduvimos,anduvisteis;anduvieron;anduve,мы погуляли
andar,Pretérito indefinido,vosotros,anduvisteis,anduvieron;anduve;anduviste,вы погуляли
andar,Pretérito indefinido,ellos/ellas,anduvieron,anduve;anduviste;anduvo,они погуляли
caber,Pretérito indefinido,yo,cupe,cupiste;cupo;cupimos,я поместился/поместилась
caber,Pretérito indefinido,tú,cupiste,cupo;cupimos;cupisteis,ты поместился/поместилась
caber,Pretérito indefinido,él/ella,cupo,cupimos;cupisteis;cupieron,он/она поместился/поместилась
caber,Pretérito indefinido,nosotros,cupimos,cupisteis;cupieron;cupe,мы поместились
caber,Pretérito indefinido,vosotros,cupisteis,cupieron;cupe;cupiste,вы поместились
caber,Pretérito indefinido,ellos/ellas,cupieron,cupe;cupiste;cupo,они поместились
conducir,Pretérito indefinido,yo,conduje,condujiste;condujo;condujimos,я повёл/повела машину
conducir,Pretérito indefinido,tú,condujiste,condujo;condujimos;condujisteis,ты повёл/повела машину
conducir,Pretérito indefinido,él/ella,condujo,condujimos;condujisteis;condujeron,он/она повёл/повела машину
conducir,Pretérito indefinido,nosotros,condujimos,condujisteis;condujeron;conduje,мы повели машину
conducir,Pretérito indefinido,vosotros,condujisteis,condujeron;conduje;condujiste,вы повели машину
conducir,Pretérito indefinido,ellos/ellas,condujeron,conduje;condujiste;condujo,они повели машину
producir,Pretérito indefinido,yo,produje,produjiste;produjo;produjimos,я произвёл/произвела
producir,Pretérito indefinido,tú,produjiste,produjo;produjimos;produjisteis,ты произвёл/произвела
producir,Pretérito indefinido,él/ella,produjo,produjimos;produjisteis;produjeron,он/она произвёл/произвела
producir,Pretérito indefinido,nosotros,produjimos,produjisteis;produjeron;produje,мы произвели
producir,Pretérito indefinido,vosotros,produjisteis,produjeron;produje;produjiste,вы произвели
producir,Pretérito indefinido,ellos/ellas,produjeron,produje;produjiste;produjo,они произвели
traducir,Pretérito indefinido,yo,traduje,tradujiste;tradujo;tradujimos,я перевёл/перевела
traducir,Pretérito indefinido,tú,tradujiste,tradujo;tradujimos;tradujisteis,ты перевёл/перевела
traducir,Pretérito indefinido,él/ella,tradujo,tradujimos;tradujisteis;tradujeron,он/она перевёл/перевела
traducir,Pretérito indefinido,nosotros,tradujimos,tradujisteis;tradujeron;traduje,мы перевели
traducir,Pretérito indefinido,vosotros,tradujisteis,tradujeron;traduje;tradujiste,вы перевели
traducir,Pretérito indefinido,ellos/ellas,tradujeron,traduje;tradujiste;tradujo,они перевели
traer,Pretérito indefinido,yo,traje,trajiste;trajo;trajimos,я принёс/принесла
traer,Pretérito indefinido,tú,trajiste,trajo;trajimos;trajisteis,ты принёс/принесла
traer,Pretérito indefinido,él/ella,trajo,trajimos;trajisteis;trajeron,он/она принёс/принесла
traer,Pretérito indefinido,nosotros,trajimos,trajisteis;trajeron;traje,мы принесли
traer,Pretérito indefinido,vosotros,trajisteis,trajeron;traje;trajiste,вы принесли
traer,Pretérito indefinido,ellos/ellas,trajeron,traje;trajiste;trajo,они принесли
venir,Pretérito indefinido,yo,vine,viniste;vino;vinimos,я пришёл/пришла
venir,Pretérito indefinido,tú,viniste,vino;vinimos;vinisteis,ты пришёл/пришла
venir,Pretérito indefinido,él/ella,vino,vinimos;vinisteis;vinieron,он/она пришёл/пришла
venir,Pretérito indefinido,nosotros,vinimos,vinisteis;vinieron;vine,мы пришли
venir,Pretérito indefinido,vosotros,vinisteis,vinieron;vine;viniste,вы пришли
venir,Pretérito indefinido,ellos/ellas,vinieron,vine;viniste;vino,они пришли
oír,Pretérito indefinido,yo,oí,oíste;oyó;oímos,я услышал(а)
oír,Pretérito indefinido,tú,oíste,oyó;oímos;oísteis,ты услышал(а)
oír,Pretérito indefinido,él/ella,oyó,oímos;oísteis;oyeron,он/она услышал(а)
oír,Pretérito indefinido,nosotros,oímos,oísteis;oyeron;oí,мы услышали
oír,Pretérito indefinido,vosotros,oísteis,oyeron;oí;oíste,вы услышали
oír,Pretérito indefinido,ellos/ellas,oyeron,oí;oíste;oyó,они услышали
leer,Pretérito indefinido,yo,leí,leíste;leyó;leímos,я прочитал(а)
leer,Pretérito indefinido,tú,leíste,leyó;leímos;leísteis,ты прочитал(а)
leer,Pretérito indefinido,él/ella,leyó,leímos;leísteis;leyeron,он/она прочитал(а)
leer,Pretérito indefinido,nosotros,leímos,leísteis;leyeron;leí,мы прочитали
leer,Pretérito indefinido,vosotros,leísteis,leyeron;leí;leíste,вы прочитали
leer,Pretérito indefinido,ellos/ellas,leyeron,leí;leíste;leyó,они прочитали
construir,Pretérito indefinido,yo,construí,construiste;construyó;construimos,я построил(а)
construir,Pretérito indefinido,tú,construiste,construyó;construimos;construisteis,ты построил(а)
construir,Pretérito indefinido,él/ella,construyó,construimos;construisteis;construyeron,он/она построил(а)
construir,Pretérito indefinido,nosotros,construimos,construisteis;construyeron;construí,мы построили
construir,Pretérito indefinido,vosotros,construisteis,construyeron;construí;construiste,вы построили
construir,Pretérito indefinido,ellos/ellas,construyeron,construí;construiste;construyó,они построили
huir,Pretérito indefinido,yo,huí,huiste;huyó;huimos,я убежал(а)
huir,Pretérito indefinido,tú,huiste,huyó;huimos;huisteis,ты убежал(а)
huir,Pretérito indefinido,él/ella,huyó,huimos;huisteis;huyeron,он/она убежал(а)
huir,Pretérito indefinido,nosotros,huimos,huisteis;huyeron;huí,мы убежали
huir,Pretérito indefinido,vosotros,huisteis,huyeron;huí;huiste,вы убежали
huir,Pretérito indefinido,ellos/ellas,huyeron,huí;huiste;huyó,они убежали
pedir,Pretérito indefinido,yo,pedí,pediste;pidió;pedimos,я попросил(а)
pedir,Pretérito indefinido,tú,pediste,pidió;pedimos;pedisteis,ты попросил(а)
pedir,Pretérito indefinido,él/ella,pidió,pedimos;pedisteis;pidieron,он/она попросил(а)
pedir,Pretérito indefinido,nosotros,pedimos,pedisteis;pidieron;pedí,мы попросили
pedir,Pretérito indefinido,vosotros,pedisteis,pidieron;pedí;pediste,вы попросили
pedir,Pretérito indefinido,ellos/ellas,pidieron,pedí;pediste;pidió,они попросили
seguir,Pretérito indefinido,yo,seguí,seguiste;siguió;seguimos,я продолжил(а)
seguir,Pretérito indefinido,tú,seguiste,siguió;seguimos;seguisteis,ты продолжил(а)
seguir,Pretérito indefinido,él/ella,siguió,seguimos;seguisteis;siguieron,он/она продолжил(а)
seguir,Pretérito indefinido,nosotros,seguimos,seguisteis;siguieron;seguí,мы продолжили
seguir,Pretérito indefinido,vosotros,seguisteis,siguieron;seguí;seguiste,вы продолжили
seguir,Pretérito indefinido,ellos/ellas,siguieron,seguí;seguiste;siguió,они продолжили
dormir,Pretérito indefinido,yo,dormí,dormiste;durmió;dormimos,я поспал(а)
dormir,Pretérito indefinido,tú,dormiste,durmió;dormimos;dormisteis,ты поспал(а)
dormir,Pretérito indefinido,él/ella,durmió,dormimos;dormisteis;durmieron,он/она поспал(а)
dormir,Pretérito indefinido,nosotros,dormimos,dormisteis;durmieron;dormí,мы поспали
dormir,Pretérito indefinido,vosotros,dormisteis,durmieron;dormí;dormiste,вы поспали
dormir,Pretérito indefinido,ellos/ellas,durmieron,dormí;dormiste;durmió,они поспали
sentir,Pretérito indefinido,yo,sentí,sentiste;sintió;sentimos,я почувствовал(а)
sentir,Pretérito indefinido,tú,sentiste,sintió;sentimos;sentisteis,ты почувствовал(а)
sentir,Pretérito indefinido,él/ella,sintió,sentimos;sentisteis;sintieron,он/она почувствовал(а)
sentir,Pretérito indefinido,nosotros,sentimos,sentisteis;sintieron;sentí,мы почувствовали
sentir,Pretérito indefinido,vosotros,sentisteis,sintieron;sentí;sentiste,вы почувствовали
sentir,Pretérito indefinido,ellos/ellas,sintieron,sentí;sentiste;sintió,они почувствовали
morir,Pretérito indefinido,yo,morí,moriste;murió;morimos,я умер/умерла
morir,Pretérito indefinido,tú,moriste,murió;morimos;moristeis,ты умер/умерла
morir,Pretérito indefinido,él/ella,murió,morimos;moristeis;murieron,он/она умер/умерла
morir,Pretérito indefinido,nosotros,morimos,moristeis;murieron;morí,мы умерли
morir,Pretérito indefinido,vosotros,moristeis,murieron;morí;moriste,вы умерли
morir,Pretérito indefinido,ellos/ellas,murieron,morí;moriste;murió,они умерли
elegir,Pretérito indefinido,yo,elegí,elegiste;eligió;elegimos,я выбрал(а)
elegir,Pretérito indefinido,tú,elegiste,eligió;elegimos;elegisteis,ты выбрал(а)
elegir,Pretérito indefinido,él/ella,eligió,elegimos;elegisteis;eligieron,он/она выбрал(а)
elegir,Pretérito indefinido,nosotros,elegimos,elegisteis;eligieron;elegí,мы выбрали
elegir,Pretérito indefinido,vosotros,elegisteis,eligieron;elegí;elegiste,вы выбрали
elegir,Pretérito indefinido,ellos/ellas,eligieron,elegí;elegiste;eligió,они выбрали
repetir,Pretérito indefinido,yo,repetí,repetiste;repitió;repetimos,я повторил(а)
repetir,Pretérito indefinido,tú,repetiste,repitió;repetimos;repetisteis,ты повторил(а)
repetir,Pretérito indefinido,él/ella,repitió,repetimos;repetisteis;repitieron,он/она повторил(а)
repetir,Pretérito indefinido,nosotros,repetimos,repetisteis;repitieron;repetí,мы повторили
repetir,Pretérito indefinido,vosotros,repetisteis,repitieron;repetí;repetiste,вы повторили
repetir,Pretérito indefinido,ellos/ellas,repitieron,repetí;repetiste;repitió,они повторили
preferir,Pretérito indefinido,yo,preferí,preferiste;prefirió;preferimos,я предпочёл/предпочла
preferir,Pretérito indefinido,tú,preferiste,prefirió;preferimos;preferisteis,ты предпочёл/предпочла
preferir,Pretérito indefinido,él/ella,prefirió,preferimos;preferisteis;prefirieron,он/она предпочёл/предпочла
preferir,Pretérito indefinido,nosotros,preferimos,preferisteis;prefirieron;preferí,мы предпочли
