verb,tense,person,answer,choices,hint
haber,Presente de subjuntivo,yo,haya,hayas;hayamos;hayáis,(чтобы) я имел (вспомог.)
haber,Presente de subjuntivo,tú,hayas,haya;hayamos;hayáis,(чтобы) ты имел (вспомог.)
haber,Presente de subjuntivo,él/ella,haya,hayamos;hayáis;hayan,(чтобы) он/она имел (вспомог.)
haber,Presente de subjuntivo,nosotros,hayamos,hayáis;hayan;haya,(чтобы) мы имели (вспомог.)
haber,Presente de subjuntivo,vosotros,hayáis,hayan;haya;hayas,(чтобы) вы имели (вспомог.)
haber,Presente de subjuntivo,ellos/ellas,hayan,haya;hayas;hayamos,(чтобы) они имели (вспомог.)
querer,Presente de subjuntivo,yo,quiera,quieras;queramos;queráis,(чтобы) я хотел
querer,Presente de subjuntivo,tú,quieras,quiera;queramos;queráis,(чтобы) ты хотел
querer,Presente de subjuntivo,él/ella,quiera,queramos;queráis;quieran,(чтобы) он/она хотел
querer,Presente de subjuntivo,nosotros,queramos,queráis;quieran;quiera,(чтобы) мы хотели
querer,Presente de subjuntivo,vosotros,queráis,quieran;quiera;quieras,(чтобы) вы хотели
querer,Presente de subjuntivo,ellos/ellas,quieran,quiera;quieras;queramos,(чтобы) они хотели
sentir,Presente de subjuntivo,yo,sienta,sientas;sintamos;sintáis,(чтобы) я чувствовал
sentir,Presente de subjuntivo,tú,sientas,sienta;sintamos;sintáis,(чтобы) ты чувствовал
sentir,Presente de subjuntivo,él/ella,sienta,sintamos;sintáis;sientan,(чтобы) он/она чувствовал
sentir,Presente de subjuntivo,nosotros,sintamos,sintáis;sientan;sienta,(чтобы) мы чувствовали
sentir,Presente de subjuntivo,vosotros,sintáis,sientan;sienta;sientas,(чтобы) вы чувствовали
sentir,Presente de subjuntivo,ellos/ellas,sientan,sienta;sientas;sintamos,(чтобы) они чувствовали
pedir,Presente de subjuntivo,yo,pida,pidas;pidamos;pidáis,(чтобы) я просил
pedir,Presente de subjuntivo,tú,pidas,pida;pidamos;pidáis,(чтобы) ты просил
pedir,Presente de subjuntivo,él/ella,pida,pidamos;pidáis;pidan,(чтобы) он/она просил
pedir,Presente de subjuntivo,nosotros,pidamos,pidáis;pidan;pida,(чтобы) мы просили
pedir,Presente de subjuntivo,vosotros,pidáis,pidan;pida;pidas,(чтобы) вы просили
pedir,Presente de subjuntivo,ellos/ellas,pidan,pida;pidas;pidamos,(чтобы) они просили
seguir,Presente de subjuntivo,yo,siga,sigas;sigamos;sigáis,(чтобы) я продолжал
seguir,Presente de subjuntivo,tú,sigas,siga;sigamos;sigáis,(чтобы) ты продолжал
seguir,Presente de subjuntivo,él/ella,siga,sigamos;sigáis;sigan,(чтобы) он/она продолжал
seguir,Presente de subjuntivo,nosotros,sigamos,sigáis;sigan;siga,(чтобы) мы продолжали
seguir,Presente de subjuntivo,vosotros,sigáis,sigan;siga;sigas,(чтобы) вы продолжали
seguir,Presente de subjuntivo,ellos/ellas,sigan,siga;sigas;sigamos,(чтобы) они продолжали
conocer,Presente de subjuntivo,yo,conozca,conozcas;conozcamos;conozcáis,(чтобы) я знал
conocer,Presente de subjuntivo,tú,conozcas,conozca;conozcamos;conozcáis,(чтобы) ты знал
conocer,Presente de subjuntivo,él/ella,conozca,conozcamos;conozcáis;conozcan,(чтобы) он/она знал
conocer,Presente de subjuntivo,nosotros,conozcamos,conozcáis;conozcan;conozca,(чтобы) мы знали
conocer,Presente de subjuntivo,vosotros,conozcáis,conozcan;conozca;conozcas,(чтобы) вы знали
conocer,Presente de subjuntivo,ellos/ellas,conozcan,conozca;conozcas;conozcamos,(чтобы) они знали
construir,Presente de subjuntivo,yo,construya,construyas;construyamos;construyáis,(чтобы) я строил
construir,Presente de subjuntivo,tú,construyas,construya;construyamos;construyáis,(чтобы) ты строил
construir,Presente de subjuntivo,él/ella,construya,construyamos;construyáis;construyan,(чтобы) он/она строил
construir,Presente de subjuntivo,nosotros,construyamos,construyáis;construyan;construya,(чтобы) мы строили
construir,Presente de subjuntivo,vosotros,construyáis,construyan;construya;construyas,(чтобы) вы строили
construir,Presente de subjuntivo,ellos/ellas,construyan,construya;construyas;construyamos,(чтобы) они строили
